G[1,1](hr >= 82.583 & Pulse >= 87.225) [Discrimination Score: 0.000; Robustness + : -0.079; Robustness - : -0.082; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.130 | AF <= 0.376) & cosen >= -2.508) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.278 -> LOS >= 4.417) [Discrimination Score: -0.165; Robustness + : -3.583; Robustness - : -3.012; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.008) U[0,0] (death = 0.033)) [Discrimination Score: 0.667; Robustness + : -0.008; Robustness - : -0.008; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 20.096 & CREATININE >= 0.907) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 85.273 & Pulse >= 75.484) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.702 | AF <= 0.103) & cosen >= -2.452) [Discrimination Score: -0.864; Robustness + : 0.071; Robustness - : 0.255; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.757 -> LOS >= 3.851) [Discrimination Score: -0.165; Robustness + : -4.149; Robustness - : -3.577; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.016) U[1,2] (death = 0.033)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 18.472 & CREATININE >= 0.854) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 81.726 & Pulse >= 71.996) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.903 | AF <= 0.363) & cosen >= -2.433) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.680 -> LOS >= 4.856) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
