G[2,2](hr >= 69.012 & Pulse >= 65.897) [Discrimination Score: -0.972; Robustness + : -4.668; Robustness - : 11.974; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.377 | AF <= 0.298) & cosen >= -2.596) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.570 -> LOS >= 2.730) [Discrimination Score: -0.021; Robustness + : -5.270; Robustness - : -5.206; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.621) U[0,1] (death = 0.056)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 34.133 & CREATININE >= 1.224) [Discrimination Score: 0.615; Robustness + : 0.082; Robustness - : -1.121; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 60.633 & Pulse >= 67.548) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.442 | AF <= 0.265) & cosen >= -2.360) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.707 -> LOS >= 5.867) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.382) U[0,1] (death = 0.056)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 35.308 & CREATININE >= 1.452) [Discrimination Score: 0.790; Robustness + : 0.184; Robustness - : -1.325; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 67.131 & Pulse >= 68.368) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.083 | AF <= 0.045) & cosen >= -2.456) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.800 -> LOS >= 2.450) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.642) U[0,0] (death = 0.056)) [Discrimination Score: 0.783; Robustness + : 0.358; Robustness - : 0.063; Percent Class + : 0.000; Percent Class - : 1.000]
