G[1,1](hr >= 83.141 & Pulse >= 80.568) [Discrimination Score: -0.184; Robustness + : -2.628; Robustness - : -0.299; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.274 | AF <= 0.053) & cosen >= -2.243) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.462 -> LOS >= 3.601) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.025) U[0,2] (death = 0.133)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 27.993 & CREATININE >= 1.178) [Discrimination Score: -1.291; Robustness + : -1.908; Robustness - : -0.078; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 63.813 & Pulse >= 77.955) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.453 | AF <= 0.307) & cosen >= -2.127) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.478 -> LOS >= 3.091) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.024) U[0,1] (death = 0.133)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 30.417 & CREATININE >= 1.179) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 67.740 & Pulse >= 71.327) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.488 | AF <= 0.437) & cosen >= -2.187) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.493 -> LOS >= 2.690) [Discrimination Score: 1.575; Robustness + : -0.493; Robustness - : -5.596; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.060) U[1,1] (death = 0.133)) [Discrimination Score: 0.000; Robustness + : -0.060; Robustness - : -0.060; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 26.329 & CREATININE >= 1.166) [Discrimination Score: -1.000; Robustness + : -2.369; Robustness - : -0.066; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 73.965 & Pulse >= 77.131) [Discrimination Score: -0.097; Robustness + : 2.428; Robustness - : 3.441; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.049 | AF <= 0.388) & cosen >= -2.343) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.482 -> LOS >= 3.634) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.056) U[1,2] (death = 0.133)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 27.444 & CREATININE >= 1.165) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 64.337 & Pulse >= 80.085) [Discrimination Score: 0.154; Robustness + : 1.790; Robustness - : 0.486; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.316 | AF <= 0.054) & cosen >= -2.127) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.455 -> LOS >= 2.990) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.032) U[0,0] (death = 0.133)) [Discrimination Score: -0.408; Robustness + : -0.032; Robustness - : 0.111; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 30.821 & CREATININE >= 1.103) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 64.011 & Pulse >= 83.507) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.446 | AF <= 0.309) & cosen >= -2.344) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.461 -> LOS >= 2.410) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.053) U[1,2] (death = 0.133)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 25.139 & CREATININE >= 1.172) [Discrimination Score: -1.291; Robustness + : -3.690; Robustness - : -0.072; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 69.987 & Pulse >= 74.456) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.306 | AF <= 0.321) & cosen >= -2.323) [Discrimination Score: 0.547; Robustness + : 0.154; Robustness - : 0.021; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.466 -> LOS >= 3.183) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.006) U[0,1] (death = 0.133)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 28.371 & CREATININE >= 1.177) [Discrimination Score: -1.291; Robustness + : -1.672; Robustness - : -0.077; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 76.947 & Pulse >= 69.514) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.462 | AF <= 0.095) & cosen >= -2.268) [Discrimination Score: 0.460; Robustness + : 0.099; Robustness - : 0.022; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.480 -> LOS >= 2.224) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.034) U[1,2] (death = 0.133)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 29.052 & CREATININE >= 1.132) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 79.036 & Pulse >= 82.689) [Discrimination Score: -0.596; Robustness + : -4.314; Robustness - : 7.597; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.415 | AF <= 0.116) & cosen >= -2.126) [Discrimination Score: -0.227; Robustness + : -0.028; Robustness - : 0.040; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.497 -> LOS >= 3.557) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.056) U[0,0] (death = 0.133)) [Discrimination Score: -0.408; Robustness + : -0.056; Robustness - : 0.087; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 27.438 & CREATININE >= 1.137) [Discrimination Score: -1.291; Robustness + : -2.240; Robustness - : -0.037; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 75.971 & Pulse >= 66.243) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.275 | AF <= 0.497) & cosen >= -2.090) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.458 -> LOS >= 3.965) [Discrimination Score: 1.193; Robustness + : -0.458; Robustness - : -4.321; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.004) U[0,0] (death = 0.133)) [Discrimination Score: -0.408; Robustness + : -0.004; Robustness - : 0.139; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 25.696 & CREATININE >= 1.177) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((direct <= 0.576) U[0,2] (y = 0.609)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](hr <= 97.678 & y = 0.529) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.947 -> y = 0.700) [Discrimination Score: -1.000; Robustness + : -0.947; Robustness - : 0.053; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](LOS > 3.588 & y = 0.440) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](SpO2 > 90.671 -> y = 0.387) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Pulse < 89.192 -> y = 0.854) [Discrimination Score: 0.154; Robustness + : -7.317; Robustness - : -8.620; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](ICU_Pt_Days >= 1.417 -> y = 0.754) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Glasgow_Coma_Scale_Total < 14.986 -> y = 0.629) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((cosen < -1.572) U[0,0] (y = 0.778)) [Discrimination Score: 0.252; Robustness + : 0.582; Robustness - : 0.500; Percent Class + : 0.000; Percent Class - : 1.000]
((SODIUM > 134.852) U[1,2] (y = 0.882)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BLOOD_UREA_NITROGEN >= 21.561 -> y = 0.271) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((POTASSIUM <= 3.994) U[0,0] (y = 0.602)) [Discrimination Score: 1.000; Robustness + : 0.044; Robustness - : -0.006; Percent Class + : 0.000; Percent Class - : 1.000]
