G[0,0](hr >= 66.459 & Pulse >= 70.910) [Discrimination Score: -1.300; Robustness + : -4.354; Robustness - : 14.518; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.143 | AF <= 0.185) & cosen >= -2.769) [Discrimination Score: -0.602; Robustness + : 0.151; Robustness - : 0.185; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.930 -> LOS >= 4.550) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.024) U[0,0] (death = 0.066)) [Discrimination Score: 0.000; Robustness + : -0.024; Robustness - : -0.024; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 21.213 & CREATININE >= 1.116) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 56.891 & Pulse >= 68.531) [Discrimination Score: -1.442; Robustness + : -1.270; Robustness - : 12.898; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.207 | AF <= 0.202) & cosen >= -2.791) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.391 -> LOS >= 5.745) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.020) U[1,1] (death = 0.066)) [Discrimination Score: 2.000; Robustness + : -0.020; Robustness - : -0.020; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 21.548 & CREATININE >= 1.100) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 65.375 & Pulse >= 66.423) [Discrimination Score: -1.293; Robustness + : -1.037; Robustness - : 19.006; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.766 | AF <= 0.464) & cosen >= -2.423) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.499 -> LOS >= 3.847) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.012) U[1,1] (death = 0.066)) [Discrimination Score: -2.000; Robustness + : -0.012; Robustness - : -0.012; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 21.446 & CREATININE >= 1.107) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 56.005 & Pulse >= 70.180) [Discrimination Score: -1.442; Robustness + : -2.919; Robustness - : 11.249; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.176 | AF <= 0.255) & cosen >= -2.816) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.526 -> LOS >= 3.344) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.019) U[0,1] (death = 0.066)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 21.667 & CREATININE >= 1.116) [Discrimination Score: -0.527; Robustness + : -0.085; Robustness - : -0.016; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 64.576 & Pulse >= 66.923) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.801 | AF <= 0.374) & cosen >= -2.637) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.357 -> LOS >= 5.795) [Discrimination Score: 0.571; Robustness + : -0.357; Robustness - : -2.292; Percent Class + : 1.000; Percent Class - : 0.000]
