G[0,0](hr >= 96.324 & Pulse >= 98.063) [Discrimination Score: 0.437; Robustness + : -0.218; Robustness - : -11.348; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.877 | AF <= 0.100) & cosen >= -1.794) [Discrimination Score: 0.417; Robustness + : -0.047; Robustness - : -0.218; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.128 -> LOS >= 2.852) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 7.671801226956891e-05) U[0,1] (death = 0.029)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 8.828 & CREATININE >= 0.779) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 76.713 & Pulse >= 72.458) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.454 | AF <= 0.293) & cosen >= -2.261) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.355 -> LOS >= 2.760) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.014) U[0,0] (death = 0.029)) [Discrimination Score: -0.408; Robustness + : -0.014; Robustness - : 0.129; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 17.454 & CREATININE >= 0.722) [Discrimination Score: 3.402; Robustness + : -0.263; Robustness - : -3.546; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 89.878 & Pulse >= 87.074) [Discrimination Score: 0.002; Robustness + : 7.349; Robustness - : 7.286; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((af <= 0.887 | AF <= 0.257) & cosen >= -2.127) [Discrimination Score: 0.399; Robustness + : 0.278; Robustness - : 0.116; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.445 -> LOS >= 2.203) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.006) U[0,1] (death = 0.029)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
