G[2,2](hr >= 87.623 & Pulse >= 79.259) [Discrimination Score: -1.135; Robustness + : -9.259; Robustness - : -1.527; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.303 | AF <= 0.930) & cosen >= -2.255) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.884 -> LOS >= 4.746) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.030) U[1,2] (death = 0.235)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 20.730 & CREATININE >= 0.721) [Discrimination Score: 0.248; Robustness + : -0.021; Robustness - : -0.270; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 87.952 & Pulse >= 75.956) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.573 | AF <= 0.939) & cosen >= -2.020) [Discrimination Score: 1.980; Robustness + : -0.061; Robustness - : -0.191; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.963 -> LOS >= 3.253) [Discrimination Score: -0.413; Robustness + : -4.747; Robustness - : -3.318; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.028) U[1,1] (death = 0.235)) [Discrimination Score: 0.000; Robustness + : -0.028; Robustness - : -0.028; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 20.041 & CREATININE >= 0.885) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 91.616 & Pulse >= 71.134) [Discrimination Score: 0.591; Robustness + : -1.134; Robustness - : -4.570; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.672 | AF <= 0.761) & cosen >= -2.150) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.964 -> LOS >= 5.691) [Discrimination Score: -0.186; Robustness + : -2.309; Robustness - : -1.777; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.088) U[1,1] (death = 0.235)) [Discrimination Score: 1.000; Robustness + : -0.088; Robustness - : -0.088; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 19.465 & CREATININE >= 1.026) [Discrimination Score: 1.209; Robustness + : -0.326; Robustness - : -1.535; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 85.481 & Pulse >= 80.747) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.599 | AF <= 0.930) & cosen >= -2.226) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.966 -> LOS >= 2.653) [Discrimination Score: -0.413; Robustness + : -5.347; Robustness - : -3.918; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.045) U[1,2] (death = 0.235)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 20.284 & CREATININE >= 0.980) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
