G[0,0](hr >= 59.100 & Pulse >= 60.291) [Discrimination Score: -0.870; Robustness + : 5.116; Robustness - : 23.995; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.350 | AF <= 0.309) & cosen >= -2.365) [Discrimination Score: -0.199; Robustness + : 0.074; Robustness - : 0.139; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.745 -> LOS >= 4.193) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.341) U[1,2] (death = 0.032)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 18.039 & CREATININE >= 0.831) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 57.909 & Pulse >= 66.620) [Discrimination Score: -0.760; Robustness + : 0.332; Robustness - : 17.523; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.463 | AF <= 0.490) & cosen >= -2.623) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.637 -> LOS >= 10.170) [Discrimination Score: -7.662; Robustness + : -5.830; Robustness - : 0.050; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.220) U[0,2] (death = 0.032)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 18.307 & CREATININE >= 0.809) [Discrimination Score: 3.546; Robustness + : -0.157; Robustness - : -2.693; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 63.549 & Pulse >= 66.380) [Discrimination Score: -0.842; Robustness + : -0.493; Robustness - : 17.905; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.054 | AF <= 0.410) & cosen >= -2.698) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.592 -> LOS >= 3.869) [Discrimination Score: -3.848; Robustness + : -12.131; Robustness - : -1.340; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.030) U[0,1] (death = 0.032)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 18.676 & CREATININE >= 0.819) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 69.324 & Pulse >= 66.955) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.404 | AF <= 0.469) & cosen >= -2.655) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.684 -> LOS >= 5.364) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.069) U[0,1] (death = 0.032)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 17.554 & CREATININE >= 0.848) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 65.114 & Pulse >= 60.480) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.105 | AF <= 0.320) & cosen >= -2.698) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.743 -> LOS >= 11.587) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.003) U[2,2] (death = 0.032)) [Discrimination Score: 2.449; Robustness + : 0.997; Robustness - : 0.140; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 18.454 & CREATININE >= 0.833) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 68.287 & Pulse >= 59.030) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.475 | AF <= 0.485) & cosen >= -2.503) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.506 -> LOS >= 12.322) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.187) U[1,2] (death = 0.032)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 18.037 & CREATININE >= 0.846) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 62.830 & Pulse >= 60.048) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.196 | AF <= 0.483) & cosen >= -2.372) [Discrimination Score: -0.449; Robustness + : 0.026; Robustness - : 0.165; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.631 -> LOS >= 13.589) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.691) U[2,2] (death = 0.032)) [Discrimination Score: 1.382; Robustness + : 0.309; Robustness - : -0.172; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 17.400 & CREATININE >= 0.874) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 66.906 & Pulse >= 69.809) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.142 | AF <= 0.429) & cosen >= -2.353) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.579 -> LOS >= 5.152) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.824) U[0,0] (death = 0.032)) [Discrimination Score: 1.056; Robustness + : 0.176; Robustness - : -0.229; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 19.968 & CREATININE >= 0.842) [Discrimination Score: 3.410; Robustness + : -0.067; Robustness - : -1.032; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 71.473 & Pulse >= 61.648) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.090 | AF <= 0.358) & cosen >= -2.565) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.764 -> LOS >= 10.962) [Discrimination Score: -11.419; Robustness + : -5.038; Robustness - : 0.054; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.261) U[0,0] (death = 0.032)) [Discrimination Score: 2.321; Robustness + : 0.739; Robustness - : 0.013; Percent Class + : 0.000; Percent Class - : 1.000]
