G[0,1](hr >= 62.668 & Pulse >= 62.039) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.458 | AF <= 0.062) & cosen >= -2.488) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.808 -> LOS >= 4.883) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.381) U[0,1] (death = 0.020)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 20.113 & CREATININE >= 0.938) [Discrimination Score: 0.573; Robustness + : -0.674; Robustness - : -0.887; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 64.008 & Pulse >= 70.810) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.519 | AF <= 0.247) & cosen >= -2.403) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.883 -> LOS >= 8.162) [Discrimination Score: -0.282; Robustness + : -0.838; Robustness - : -0.448; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.884) U[0,2] (death = 0.020)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 20.282 & CREATININE >= 0.975) [Discrimination Score: 0.572; Robustness + : -0.556; Robustness - : -0.718; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 65.032 & Pulse >= 62.115) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.477 | AF <= 0.273) & cosen >= -2.402) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.829 -> LOS >= 5.647) [Discrimination Score: -1.135; Robustness + : -3.353; Robustness - : -0.761; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.906) U[1,2] (death = 0.020)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 19.705 & CREATININE >= 1.016) [Discrimination Score: 0.573; Robustness + : -1.000; Robustness - : -1.295; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 67.656 & Pulse >= 69.269) [Discrimination Score: -1.053; Robustness + : 2.159; Robustness - : 22.589; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.083 | AF <= 0.474) & cosen >= -2.358) [Discrimination Score: -0.895; Robustness + : 0.002; Robustness - : 0.269; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.940 -> LOS >= 5.188) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.097) U[0,1] (death = 0.020)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 19.406 & CREATININE >= 0.987) [Discrimination Score: 0.573; Robustness + : -1.218; Robustness - : -1.594; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 68.333 & Pulse >= 62.735) [Discrimination Score: -1.097; Robustness + : 4.017; Robustness - : 26.796; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.107 | AF <= 0.205) & cosen >= -2.546) [Discrimination Score: -0.918; Robustness + : 0.138; Robustness - : 0.205; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.754 -> LOS >= 8.618) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.723) U[1,2] (death = 0.020)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 19.295 & CREATININE >= 0.956) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
