G[1,1](hr >= 73.076 & Pulse >= 68.805) [Discrimination Score: -1.563; Robustness + : -4.499; Robustness - : 10.393; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.493 | AF <= 0.314) & cosen >= -2.516) [Discrimination Score: -0.948; Robustness + : 0.033; Robustness - : 0.260; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.297 -> LOS >= 1.366) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.018) U[0,2] (death = 0.083)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 18.651 & CREATININE >= 1.044) [Discrimination Score: 0.739; Robustness + : -1.535; Robustness - : -2.349; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 68.813 & Pulse >= 74.133) [Discrimination Score: -0.935; Robustness + : -4.547; Robustness - : 13.152; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.477 | AF <= 0.291) & cosen >= -2.461) [Discrimination Score: -1.020; Robustness + : -0.022; Robustness - : 0.211; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.323 -> LOS >= 0.511) [Discrimination Score: 2.151; Robustness + : -0.323; Robustness - : -7.632; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.014) U[1,2] (death = 0.083)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 20.568 & CREATININE >= 1.022) [Discrimination Score: 0.739; Robustness + : -0.287; Robustness - : -0.432; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 72.048 & Pulse >= 73.041) [Discrimination Score: -1.046; Robustness + : -4.859; Robustness - : 14.245; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.434 | AF <= 0.291) & cosen >= -2.501) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
