G[0,0](hr >= 80.402 & Pulse >= 85.367) [Discrimination Score: 0.191; Robustness + : -0.735; Robustness - : -2.676; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((af <= 0.441 | AF <= 0.147) & cosen >= -1.973) [Discrimination Score: 0.841; Robustness + : 0.245; Robustness - : -0.137; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.506 -> LOS >= 2.833) [Discrimination Score: 0.815; Robustness + : -0.506; Robustness - : -3.501; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.021) U[1,2] (death = 0.060)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 19.866 & CREATININE >= 0.845) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 82.136 & Pulse >= 72.711) [Discrimination Score: -0.304; Robustness + : 4.609; Robustness - : 9.826; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.548 | AF <= 0.195) & cosen >= -1.845) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.353 -> LOS >= 2.051) [Discrimination Score: 1.040; Robustness + : -0.353; Robustness - : -4.234; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.004) U[0,1] (death = 0.060)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 16.948 & CREATININE >= 0.855) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 82.484 & Pulse >= 78.753) [Discrimination Score: 0.149; Robustness + : 3.255; Robustness - : 1.769; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.625 | AF <= 0.015) & cosen >= -1.748) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.469 -> LOS >= 2.861) [Discrimination Score: 0.816; Robustness + : -0.469; Robustness - : -3.472; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.025) U[0,1] (death = 0.060)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 16.145 & CREATININE >= 0.884) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 83.521 & Pulse >= 76.190) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.362 | AF <= 0.162) & cosen >= -2.202) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.343 -> LOS >= 2.319) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.005) U[2,2] (death = 0.060)) [Discrimination Score: -0.408; Robustness + : -0.005; Robustness - : 0.138; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 15.156 & CREATININE >= 0.893) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 85.974 & Pulse >= 85.687) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.604 | AF <= 0.346) & cosen >= -1.899) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.512 -> LOS >= 2.358) [Discrimination Score: 0.916; Robustness + : -0.512; Robustness - : -3.928; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.017) U[0,2] (death = 0.060)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 13.917 & CREATININE >= 0.835) [Discrimination Score: 50.110; Robustness + : 0.069; Robustness - : -7.083; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 81.606 & Pulse >= 71.807) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((af <= 0.538 | AF <= 0.019) & cosen >= -2.007) [Discrimination Score: 0.790; Robustness + : 0.293; Robustness - : -0.093; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.261 -> LOS >= 2.025) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.013) U[1,2] (death = 0.060)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
