G[2,2](hr >= 94.198 & Pulse >= 70.444) [Discrimination Score: 0.367; Robustness + : 0.756; Robustness - : -5.968; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.200 | AF <= 0.185) & cosen >= -2.500) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.227 -> LOS >= 0.381) [Discrimination Score: 1.868; Robustness + : -0.227; Robustness - : -6.905; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.010) U[1,2] (death = 0.041)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 17.524 & CREATININE >= 0.808) [Discrimination Score: 1.414; Robustness + : -1.231; Robustness - : -3.476; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 78.139 & Pulse >= 78.639) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.059 | AF <= 0.481) & cosen >= -2.430) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.274 -> LOS >= 0.876) [Discrimination Score: 1.717; Robustness + : -0.274; Robustness - : -6.409; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.019) U[1,1] (death = 0.041)) [Discrimination Score: -6.000; Robustness + : -0.019; Robustness - : -0.019; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 17.970 & CREATININE >= 0.767) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 84.596 & Pulse >= 70.735) [Discrimination Score: 0.020; Robustness + : 6.821; Robustness - : 6.438; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.233 | AF <= 0.018) & cosen >= -2.112) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.458 -> LOS >= 0.027) [Discrimination Score: 1.897; Robustness + : -0.458; Robustness - : -6.258; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.005) U[0,1] (death = 0.041)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 20.111 & CREATININE >= 0.762) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 94.650 & Pulse >= 74.303) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.283 | AF <= 0.241) & cosen >= -2.174) [Discrimination Score: 0.242; Robustness + : 0.054; Robustness - : -0.028; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.141 -> LOS >= 0.875) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.012) U[0,0] (death = 0.041)) [Discrimination Score: -3.000; Robustness + : -0.012; Robustness - : -0.012; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 19.077 & CREATININE >= 0.810) [Discrimination Score: 1.414; Robustness + : -0.714; Robustness - : -1.923; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 84.640 & Pulse >= 76.995) [Discrimination Score: 0.204; Robustness + : 2.979; Robustness - : 0.066; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.189 | AF <= 0.074) & cosen >= -2.311) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.385 -> LOS >= 0.793) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.005) U[0,2] (death = 0.041)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 17.730 & CREATININE >= 0.718) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
