G[0,0](hr >= 79.655 & Pulse >= 65.684) [Discrimination Score: 0.375; Robustness + : 6.198; Robustness - : -2.482; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.988 | AF <= 0.450) & cosen >= -2.188) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 1.000 -> LOS >= 6.794) [Discrimination Score: 0.266; Robustness + : -1.206; Robustness - : -1.564; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.041) U[1,1] (death = 0.030)) [Discrimination Score: 0.564; Robustness + : 0.959; Robustness - : 0.720; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 42.733 & CREATININE >= 2.349) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 70.935 & Pulse >= 62.389) [Discrimination Score: 0.345; Robustness + : 13.798; Robustness - : 5.931; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.117 | AF <= 0.160) & cosen >= -2.121) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 1.000 -> LOS >= 3.295) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.297) U[0,0] (death = 0.030)) [Discrimination Score: 0.559; Robustness + : 0.703; Robustness - : 0.517; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 40.656 & CREATININE >= 3.948) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 74.664 & Pulse >= 77.110) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((af <= 0.650 | AF <= 0.281) & cosen >= -2.463) [Discrimination Score: 0.244; Robustness + : 0.350; Robustness - : 0.236; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 1.000 -> LOS >= 4.856) [Discrimination Score: 0.098; Robustness + : -3.144; Robustness - : -3.307; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.840) U[1,1] (death = 0.030)) [Discrimination Score: 0.386; Robustness + : 0.160; Robustness - : 0.086; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 43.842 & CREATININE >= 4.745) [Discrimination Score: 0.216; Robustness + : 1.783; Robustness - : 0.399; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 78.187 & Pulse >= 78.998) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.857 | AF <= 0.307) & cosen >= -2.584) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 1.000 -> LOS >= 2.927) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.788) U[0,1] (death = 0.030)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 43.183 & CREATININE >= 7.960) [Discrimination Score: 0.270; Robustness + : -0.465; Robustness - : -1.935; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 72.817 & Pulse >= 70.765) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.249 | AF <= 0.319) & cosen >= -2.068) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 1.000 -> LOS >= 7.487) [Discrimination Score: 0.336; Robustness + : -0.513; Robustness - : -0.943; Percent Class + : 1.000; Percent Class - : 0.000]
