G[1,1](hr >= 53.841 & Pulse >= 66.025) [Discrimination Score: -1.121; Robustness + : -0.706; Robustness - : 22.689; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.481 | AF <= 0.017) & cosen >= -1.596) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.683 -> LOS >= 2.666) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.008) U[0,2] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 19.382 & CREATININE >= 1.056) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 52.070 & Pulse >= 57.869) [Discrimination Score: -1.093; Robustness + : 5.750; Robustness - : 26.988; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.290 | AF <= 0.403) & cosen >= -1.783) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.864 -> LOS >= 3.000) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.004) U[0,1] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 20.353 & CREATININE >= 1.034) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 57.571 & Pulse >= 64.784) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.041 | AF <= 0.050) & cosen >= -1.621) [Discrimination Score: 1.278; Robustness + : -0.019; Robustness - : -0.482; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.959 -> LOS >= 3.123) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.011) U[0,2] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 18.743 & CREATININE >= 1.042) [Discrimination Score: 2.428; Robustness + : -0.510; Robustness - : -2.257; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 66.025 & Pulse >= 68.018) [Discrimination Score: -1.201; Robustness + : -5.658; Robustness - : 20.697; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.627 | AF <= 0.292) & cosen >= -1.650) [Discrimination Score: 1.403; Robustness + : 0.176; Robustness - : -0.457; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.430 -> LOS >= 2.826) [Discrimination Score: 0.844; Robustness + : -0.430; Robustness - : -3.210; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.002) U[0,0] (death = 0.026)) [Discrimination Score: -0.408; Robustness + : -0.002; Robustness - : 0.140; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 19.571 & CREATININE >= 1.008) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 62.816 & Pulse >= 57.957) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.771 | AF <= 0.170) & cosen >= -2.284) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.254 -> LOS >= 2.367) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.005) U[0,1] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 17.490 & CREATININE >= 1.049) [Discrimination Score: 1.961; Robustness + : -1.033; Robustness - : -3.510; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 64.952 & Pulse >= 56.945) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.603 | AF <= 0.475) & cosen >= -1.774) [Discrimination Score: 0.763; Robustness + : 0.259; Robustness - : -0.215; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.253 -> LOS >= 2.289) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.004) U[0,1] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 17.511 & CREATININE >= 1.025) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 50.638 & Pulse >= 61.713) [Discrimination Score: -1.134; Robustness + : 3.349; Robustness - : 27.002; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.672 | AF <= 0.423) & cosen >= -2.179) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.634 -> LOS >= 2.710) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.009) U[0,2] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 20.517 & CREATININE >= 1.011) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](hr >= 65.468 & Pulse >= 62.914) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.446 | AF <= 0.093) & cosen >= -2.139) [Discrimination Score: 1.440; Robustness + : 0.425; Robustness - : 0.019; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.419 -> LOS >= 2.158) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.004) U[0,1] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 20.298 & CREATININE >= 1.055) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 66.298 & Pulse >= 62.490) [Discrimination Score: -1.241; Robustness + : -3.477; Robustness - : 25.159; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.547 | AF <= 0.190) & cosen >= -2.126) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.910 -> LOS >= 2.686) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.013) U[0,1] (death = 0.026)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 19.472 & CREATININE >= 1.004) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 51.262 & Pulse >= 52.369) [Discrimination Score: -1.159; Robustness + : 9.211; Robustness - : 32.488; Percent Class + : 1.000; Percent Class - : 0.000]
