G[1,1](hr >= 89.028 & Pulse >= 85.519) [Discrimination Score: 0.601; Robustness + : -0.209; Robustness - : -6.816; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.458 | AF <= 0.086) & cosen >= -2.478) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.372 -> LOS >= 3.332) [Discrimination Score: -0.192; Robustness + : -3.668; Robustness - : -3.097; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.008) U[1,2] (death = 0.034)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 19.728 & CREATININE >= 0.813) [Discrimination Score: 2.177; Robustness + : -0.189; Robustness - : -1.272; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 88.034 & Pulse >= 85.965) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((af <= 0.120 | AF <= 0.039) & cosen >= -2.486) [Discrimination Score: 0.223; Robustness + : 0.095; Robustness - : 0.048; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.208 -> LOS >= 6.809) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.006) U[2,2] (death = 0.034)) [Discrimination Score: -0.000; Robustness + : -0.006; Robustness - : -0.006; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 20.815 & CREATININE >= 0.817) [Discrimination Score: 1.916; Robustness + : -0.004; Robustness - : -0.185; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 84.466 & Pulse >= 77.623) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.336 | AF <= 0.066) & cosen >= -2.380) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.254 -> LOS >= 2.844) [Discrimination Score: 0.124; Robustness + : -4.156; Robustness - : -4.585; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.001) U[1,1] (death = 0.034)) [Discrimination Score: -2.000; Robustness + : -0.001; Robustness - : -0.001; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 20.959 & CREATININE >= 0.871) [Discrimination Score: 0.385; Robustness + : -0.023; Robustness - : -0.041; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 83.130 & Pulse >= 80.456) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((af <= 0.314 | AF <= 0.226) & cosen >= -2.343) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.314 -> LOS >= 3.317) [Discrimination Score: 0.124; Robustness + : -3.683; Robustness - : -4.111; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.009) U[1,2] (death = 0.034)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 20.647 & CREATININE >= 0.871) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 80.533 & Pulse >= 72.199) [Discrimination Score: 0.531; Robustness + : 9.439; Robustness - : 3.629; Percent Class + : 1.000; Percent Class - : 0.000]
