G[2,2](hr >= 87.311 & Pulse >= 74.047) [Discrimination Score: -0.394; Robustness + : -0.232; Robustness - : 8.143; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.239 | AF <= 0.312) & cosen >= -1.908) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.354 -> LOS >= 3.811) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.000) U[1,1] (death = 0.040)) [Discrimination Score: -0.408; Robustness + : -0.000; Robustness - : 0.143; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 18.182 & CREATININE >= 1.490) [Discrimination Score: 1.362; Robustness + : -0.632; Robustness - : -2.818; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 87.465 & Pulse >= 77.296) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((af <= 0.078 | AF <= 0.436) & cosen >= -2.007) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.212 -> LOS >= 2.870) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.003) U[1,1] (death = 0.040)) [Discrimination Score: -0.408; Robustness + : -0.003; Robustness - : 0.140; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 20.016 & CREATININE >= 1.513) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 82.520 & Pulse >= 86.618) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((af <= 0.168 | AF <= 0.077) & cosen >= -2.199) [Discrimination Score: 0.691; Robustness + : 0.148; Robustness - : 0.043; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.513 -> LOS >= 2.054) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.014) U[0,1] (death = 0.040)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 19.943 & CREATININE >= 1.609) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](hr >= 77.681 & Pulse >= 76.925) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.898 | AF <= 0.223) & cosen >= -2.149) [Discrimination Score: 0.382; Robustness + : 0.209; Robustness - : 0.070; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.986 -> LOS >= 5.173) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.017) U[0,0] (death = 0.040)) [Discrimination Score: -0.408; Robustness + : -0.017; Robustness - : 0.126; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 19.446 & CREATININE >= 1.609) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 77.251 & Pulse >= 70.505) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.359 | AF <= 0.228) & cosen >= -2.149) [Discrimination Score: 0.528; Robustness + : 0.198; Robustness - : 0.045; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.918 -> LOS >= 2.725) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.008) U[1,2] (death = 0.040)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](BLOOD_UREA_NITROGEN <= 18.745 & CREATININE >= 1.146) [Discrimination Score: 1.434; Robustness + : -0.142; Robustness - : -2.255; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 81.339 & Pulse >= 74.761) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.655 | AF <= 0.236) & cosen >= -2.130) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.774 -> LOS >= 4.053) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.001) U[1,2] (death = 0.040)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 20.550 & CREATININE >= 1.267) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 76.971 & Pulse >= 78.029) [Discrimination Score: -0.085; Robustness + : 8.277; Robustness - : 10.257; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.815 | AF <= 0.214) & cosen >= -2.278) [Discrimination Score: 0.330; Robustness + : 0.321; Robustness - : 0.182; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.420 -> LOS >= 3.074) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.010) U[0,1] (death = 0.040)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 20.470 & CREATININE >= 1.160) [Discrimination Score: 1.345; Robustness + : 0.381; Robustness - : -0.530; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](hr >= 83.540 & Pulse >= 86.325) [Discrimination Score: 0.127; Robustness + : 0.596; Robustness - : -2.182; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.218 | AF <= 0.406) & cosen >= -1.954) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.696 -> LOS >= 4.268) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.020) U[2,2] (death = 0.040)) [Discrimination Score: -0.408; Robustness + : -0.020; Robustness - : 0.123; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BLOOD_UREA_NITROGEN <= 18.821 & CREATININE >= 1.173) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](hr >= 82.828 & Pulse >= 85.167) [Discrimination Score: -0.070; Robustness + : 1.468; Robustness - : 3.119; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.848 | AF <= 0.307) & cosen >= -2.184) [Discrimination Score: 0.240; Robustness + : 0.238; Robustness - : 0.124; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](n_evts <= 0.599 -> LOS >= 4.211) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.013) U[1,2] (death = 0.040)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 18.390 & CREATININE >= 1.646) [Discrimination Score: 1.434; Robustness + : -0.594; Robustness - : -2.610; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 84.537 & Pulse >= 82.552) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.727 | AF <= 0.113) & cosen >= -2.151) [Discrimination Score: 0.297; Robustness + : 0.196; Robustness - : 0.067; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](n_evts <= 0.709 -> LOS >= 4.036) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
