G[1,1](hr >= 58.136 & Pulse >= 69.385) [Discrimination Score: -1.367; Robustness + : -4.585; Robustness - : 9.901; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.259 | AF <= 0.102) & cosen >= -2.212) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](n_evts <= 0.380 -> LOS >= 2.567) [Discrimination Score: 1.296; Robustness + : -0.380; Robustness - : -4.862; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.041) U[1,2] (death = 0.091)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 20.221 & CREATININE >= 0.971) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 62.256 & Pulse >= 60.295) [Discrimination Score: -2.066; Robustness + : -0.737; Robustness - : 18.863; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((af <= 0.079 | AF <= 0.286) & cosen >= -2.223) [Discrimination Score: 0.084; Robustness + : -0.010; Robustness - : -0.031; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.411 -> LOS >= 1.141) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.000) U[2,2] (death = 0.091)) [Discrimination Score: 0.000; Robustness + : -0.000; Robustness - : -0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 20.292 & CREATININE >= 0.935) [Discrimination Score: 1.414; Robustness + : -0.259; Robustness - : -0.708; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 63.116 & Pulse >= 61.544) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.134 | AF <= 0.420) & cosen >= -2.251) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.418 -> LOS >= 1.411) [Discrimination Score: 1.619; Robustness + : -0.418; Robustness - : -6.018; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.028) U[1,2] (death = 0.091)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 18.683 & CREATININE >= 0.973) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 66.717 & Pulse >= 64.909) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.500 | AF <= 0.314) & cosen >= -2.455) [Discrimination Score: -0.353; Robustness + : 0.219; Robustness - : 0.328; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](n_evts <= 0.452 -> LOS >= 1.066) [Discrimination Score: 1.949; Robustness + : -0.452; Robustness - : -7.077; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.034) U[0,0] (death = 0.091)) [Discrimination Score: 1.000; Robustness + : -0.034; Robustness - : -0.034; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BLOOD_UREA_NITROGEN <= 20.881 & CREATININE >= 0.904) [Discrimination Score: 1.414; Robustness + : -0.042; Robustness - : -0.119; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 60.373 & Pulse >= 65.241) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((af <= 0.407 | AF <= 0.196) & cosen >= -2.178) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](n_evts <= 0.390 -> LOS >= 1.699) [Discrimination Score: 1.544; Robustness + : -0.390; Robustness - : -5.729; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.045) U[0,2] (death = 0.091)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BLOOD_UREA_NITROGEN <= 19.864 & CREATININE >= 1.005) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
