G[0,0](hr >= 85.833 & Pulse >= 78.078) [Discrimination Score: -0.570; Robustness + : 4.138; Robustness - : 13.567; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((af <= 0.205 | AF <= 0.306) & cosen >= -2.456) [Discrimination Score: 0.093; Robustness + : 0.186; Robustness - : 0.164; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.328 -> LOS >= 2.318) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.008) U[0,1] (death = 0.033)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BLOOD_UREA_NITROGEN <= 7.814 & CREATININE >= 0.527) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](hr >= 90.571 & Pulse >= 83.190) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((af <= 0.109 | AF <= 0.290) & cosen >= -2.365) [Discrimination Score: -0.421; Robustness + : 0.099; Robustness - : 0.168; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](n_evts <= 0.238 -> LOS >= 2.318) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((MET >= 0.003) U[1,1] (death = 0.033)) [Discrimination Score: -0.408; Robustness + : -0.003; Robustness - : 0.140; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](BLOOD_UREA_NITROGEN <= 12.507 & CREATININE >= 0.536) [Discrimination Score: 203.928; Robustness + : 0.042; Robustness - : -8.493; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](hr >= 84.921 & Pulse >= 81.106) [Discrimination Score: -0.062; Robustness + : 3.467; Robustness - : 4.508; Percent Class + : 1.000; Percent Class - : 0.000]
