((CREATININE <= 4.455) U[0,1] (ICU_Pt_Days >= 0.277))
((AF >= 0.008) U[0,0] (n_evts >= 0.080))
((CHLORIDE >= 99.658) U[0,0] (n_evts >= 0.065))
((cosen <= -1.490) U[0,1] (ICU_Pt_Days >= 0.186))
F[1,1](PLATELET_COUNT >= 53.130 & tte <= -0.047)
G[0,1](lds <= 2.163 -> y <= 0.267)
((CREATININE >= 3.312) U[0,0] (y >= 0.057))
((AF >= 0.005) U[0,1] (direct >= 0.038))
G[1,1](LOS >= 3.093 & y <= 0.079)
G[0,1](O2_Flow <= 2.424 | PLATELET_COUNT <= 98.796)
G[0,1](LOS <= 5.213 & s8_edrk >= -0.005)
((lds >= 0.885) U[0,1] (O2_Flow >= 2.067))
((lds <= 2.378) U[1,1] (Mort >= 0.004))
F[0,0](direct >= 0.002 & Temp >= 35.733)
G[0,1](ICU_Pt_Days <= 1.658 | Mort <= 0.302)
G[0,1](cosen >= -2.297 -> MET <= 0.117)
G[0,0](ICU_Pt_Days >= 0.359 -> LOS <= 10.438)
G[0,1](SpO2 <= 97.432 & srr <= 0.160)
G[0,0](death >= 0.018 -> MET >= 0.014)
G[1,1](lds >= 1.163 | SODIUM <= 136.853)
G[0,0](lds >= 1.328 & n_edrk >= 0.076)
((CHLORIDE <= 100.131) U[1,1] (ICU_Pt_Days >= 0.085))
((ALT_GPT <= 17.452) U[1,1] (CALCIUM >= 7.861))
((Glasgow_Coma_Scale_Total <= 14.982) U[1,1] (ICU_Pt_Days <= 0.488))
F[0,1](AST_GOT >= 32.352 & SODIUM >= 132.773)
((MET >= 0.014) U[0,1] (death = 0.034))
((Glasgow_Coma_Scale_Total <= 14.990) U[1,1] (PLATELET_COUNT <= 150.501))
((MET >= 0.013) U[0,1] (death = 0.034))
F[0,0](MET <= 0.637 & y = 0.034)
F[1,1](AST_GOT <= 35.832 & TOTAL_BILIRUBIN <= 0.658)
F[0,1](Sgy > 0.000 & y = 0.053)
((s2_hr >= -0.005) U[1,1] (y = 0.439))
F[0,1](death >= 0.015 & Mort <= 0.926)
((MET >= 0.011) U[0,1] (death = 0.034))
((MET >= 0.003) U[0,1] (death = 0.034))
((Pulse >= 89.367) U[0,1] (y = 0.760))
((af > 0.003) U[0,1] (y = 0.583))
((MET >= 0.003) U[0,1] (death = 0.034))
F[0,1](BLOOD_UREA_NITROGEN < 19.807 & y = 0.076)
((srr > 0.025) U[1,1] (y = 0.423))
F[0,0](Mort > 0.023 & y = 0.292)
F[0,1](n_evts <= 0.855 & y = 0.723)
((OXYGEN_SATURATION < 94.700) U[0,0] (y = 0.530))
((ALKALINE_PHOSPHATASE >= 132.583) U[0,1] (y = 0.555))
((Mort >= 0.004) U[1,2] (n_evts <= 0.850))
((tte <= -0.083) U[0,1] (y = 0.754))
F[0,0](PROTIME_INR <= 1.168 & y >= 0.056)
F[0,0](ALBUMIN <= 2.927 & CO2 <= 25.456)
G[1,1](lds >= 1.457 -> srr <= 0.150)
G[0,0](direct <= 0.466 -> n_edrk >= 0.175)
G[0,1](n_edrk >= 0.065 | tte <= -0.048)
G[0,1](AST_GOT <= 36.012 | SBP <= 142.415)
G[1,1](CHLORIDE >= 98.079 -> PHOSPHORUS <= 4.506)
G[0,0](SODIUM <= 135.376 | WHITE_BLOOD_CELL_COUNT >= 6.499)
G[0,1](CREATININE >= 2.249 -> lds >= 0.930)
G[0,1](CALCIUM >= 6.953 | n_evts <= 0.663)
G[1,1](MAGNESIUM >= 1.742 -> Resp <= 19.853)
G[0,1](n_evts <= 0.121 -> LOS >= 3.011)
G[0,0](death <= 0.153 -> s8_edrk >= -0.003)
G[0,0](PHOSPHORUS >= 3.674 -> PROTIME_INR <= 1.170)
G[0,1](MAGNESIUM <= 1.852 -> Pulse >= 82.949)
G[0,1](ALKALINE_PHOSPHATASE <= 161.649 | CO2 >= 22.661)
G[1,1](Glasgow_Coma_Scale_Total <= 14.980 | s24_edrk >= -0.008)
G[0,1](hr <= 115.468 & s24_hr >= -0.002)
G[0,0](POTASSIUM <= 4.034 | WHITE_BLOOD_CELL_COUNT <= 7.085)
G[1,1](ALBUMIN >= 2.000 | PHOSPHORUS >= 2.612)
G[0,0](cosen <= -1.802 | Glasgow_Coma_Scale_Total <= 14.987)
F[0,1](n_edrk <= 0.950 & TOTAL_PROTEIN <= 6.284)
F[1,1](Resp <= 19.638 & SODIUM <= 135.428)
G[0,1](BLOOD_UREA_NITROGEN >= 16.807 -> srr >= 0.013)
G[1,1](hr >= 92.878 & s8_edrk >= -0.007)
((direct >= 0.029) U[1,2] (PLATELET_COUNT <= 89.603))
