((Resp <= 20.002) U[0,1] (tte <= -0.069))
F[1,1](PARTIAL_THROMBOPLASTIN_TIME >= 31.729 & tte <= -0.049)
F[1,1](direct <= 0.196 -> tte <= -0.146)
((PROTIME_INR >= 1.101) U[1,1] (tte <= -0.067))
((MAGNESIUM >= 2.013) U[0,0] (y >= 0.040))
F[0,0](MET <= 0.612 -> y >= 0.034)
((cosen <= -1.578) U[0,1] (direct >= 0.080))
G[0,1](LOS >= 3.273 -> srr >= 0.088)
G[0,0](hr <= 106.315 & Mort <= 0.575)
G[1,1](cosen >= -2.123 & s8_edrk <= 0.003)
((direct <= 0.871) U[0,1] (O2_Flow >= 2.114))
((direct >= 0.046) U[1,1] (Temp >= 35.620))
((ICU_Pt_Days >= 0.103) U[1,2] (s8_edrk <= 0.002))
G[0,0](ICU_Pt_Days <= 1.496 | MET >= 0.011)
G[0,0](lds <= 2.235 -> srr >= 0.061)
G[1,1](SBP <= 181.957 & Temp <= 36.277)
G[0,0](Temp <= 37.012 & tte >= -2.289)
G[0,1](s8_edrk <= 0.001 & Temp <= 36.540)
G[0,0](cosen <= -0.772 & Mort <= 0.839)
((O2_Flow >= 2.154) U[1,1] (Pulse >= 58.207))
((Mort >= 0.008) U[1,1] (s24_edrk >= -0.001))
G[1,1](dfa >= 0.460 & Pulse <= 86.276)
((direct >= 0.066) U[0,1] (Glasgow_Coma_Scale_Total <= 14.998))
G[0,1](LOS <= 10.489 | PARTIAL_THROMBOPLASTIN_TIME <= 31.791)
G[1,1](s24_edrk <= 0.002 & tte >= -1.258)
F[0,1](SBP > 89.528 -> y = 0.675)
((ICU_Pt_Days >= 0.431) U[1,2] (y <= 0.990))
G[0,1](AF <= 0.412 -> hr <= 92.634)
G[1,1](cosen >= -2.187 | SpO2 <= 96.238)
F[0,1](direct >= 0.080 & LOS <= 8.101)
F[1,1](cosen <= -1.127 & O2_Flow >= 2.053)
G[1,1](Glasgow_Coma_Scale_Total >= 14.914 -> O2_Flow <= 3.344)
G[1,1](Resp >= 12.324 & s8_edrk <= 0.001)
G[0,1](HEMOGLOBIN <= 10.492 -> tte >= -2.085)
G[0,1](death <= 0.730 | y >= 0.099)
((Glasgow_Coma_Scale_Total <= 14.968) U[1,2] (MET <= 0.950))
F[0,1](MET >= 0.002 & tte <= -0.105)
((cosen >= -2.216) U[0,1] (n_edrk <= 0.941))
G[0,0](O2_Flow <= 3.363 | y <= 0.988)
G[0,1](hr <= 115.928 & s24_hr >= -0.002)
G[0,1](GLUCOSE >= 117.059 -> SBP >= 66.846)
((CREATININE >= 1.114) U[1,1] (tte <= -0.012))
G[0,1](MET >= 0.010 | s2_edrk <= 0.003)
((Glasgow_Coma_Scale_Total > 14.311) U[0,1] (y = 0.610))
((BLOOD_UREA_NITROGEN > 19.311) U[0,1] (y = 0.042))
((MAGNESIUM > 2.019) U[0,1] (y = 0.209))
((srr >= 0.055) U[0,1] (y = 0.966))
((dfa <= 0.924) U[1,1] (y = 0.541))
((Pulse < 94.007) U[1,1] (y = 0.877))
((MET >= 0.004) U[0,0] (death = 0.048))
((O2_Flow >= 2.127) U[1,1] (Resp >= 18.058))
F[0,0](PROTIME_INR >= 1.103 & y = 0.200)
((MET >= 0.009) U[0,1] (death = 0.048))
((Sgy < 0.000) U[0,1] (y = 0.563))
((Mort >= 0.052) U[0,1] (y = 0.107))
((TOTAL_BILIRUBIN <= 0.700) U[0,1] (y = 0.319))
((s2_hr >= -0.003) U[0,0] (y = 0.458))
((MET >= 0.010) U[1,1] (death = 0.048))
F[0,0](s8_hr > -0.001 & y = 0.880)
F[1,1](s24_hr < 0.000 & y = 0.498)
((MET >= 0.008) U[0,0] (death = 0.048))
((Mort >= 0.066) U[1,1] (n_evts <= 0.189))
((MET >= 0.014) U[1,1] (death = 0.048))
G[0,1](CHLORIDE <= 103.311 | edrk <= 24.639)
G[0,1](cosen <= -0.859 | MET <= 0.116)
G[0,1](n_evts >= 0.148 | O2_Flow <= 5.953)
G[0,1](O2_Flow <= 6.461 | srr <= 0.166)
G[0,1](CALCIUM >= 8.908 -> CREATININE >= 1.107)
G[0,1](hr >= 59.669 | MET <= 0.381)
G[0,0](BLOOD_UREA_NITROGEN >= 19.262 -> MAGNESIUM <= 2.026)
G[0,1](AF >= 0.002 -> ICU_Pt_Days >= 0.253)
G[0,0](CALCIUM >= 8.902 -> WHITE_BLOOD_CELL_COUNT >= 8.541)
G[0,1](n_evts <= 0.453 -> LOS >= 2.151)
G[1,1](AF <= 0.440 | n_evts >= 0.043)
G[0,1](Glasgow_Coma_Scale_Total >= 14.459 -> Pulse <= 107.980)
G[0,1](SpO2 <= 99.136 | tte >= -2.977)
G[0,1](direct <= 0.361 | n_evts >= 0.099)
G[0,1](cosen >= -2.190 | hr >= 50.694)
F[0,1](CALCIUM >= 8.900 & y = 0.567)
G[0,1](GLUCOSE >= 117.461 -> PLATELET_COUNT <= 276.918)
G[0,1](cosen <= -0.792 | srr <= 0.186)
((PARTIAL_THROMBOPLASTIN_TIME >= 31.732) U[1,1] (PROTIME_INR <= 1.162))
G[0,0](PARTIAL_THROMBOPLASTIN_TIME <= 31.796 | PLATELET_COUNT <= 291.016)
F[1,1](hr <= 74.730 & n_edrk <= 0.961)
G[0,1](lds <= 1.428 -> s8_edrk <= 0.001)
