((af <= 0.018) U[0,0] (LOS >= 1.698))
((edrk >= 19.686) U[0,0] (LOS >= 1.664))
G[0,1](dfa <= 0.527 | TROPONIN_I <= 0.058)
((LOS >= 1.839) U[1,2] (SpO2 <= 97.134))
((Mort <= 0.521) U[0,1] (tte <= -0.152))
G[0,1](WHITE_BLOOD_CELL_COUNT <= 10.149 -> y <= 0.324)
G[0,1](Glasgow_Coma_Scale_Total >= 14.167 -> O2_Flow >= 2.382)
((BLOOD_UREA_NITROGEN <= 18.377) U[0,1] (y >= 0.001))
F[1,1](CREATININE >= 0.869 | Mort >= 0.065)
F[0,1](TROPONIN_I >= 0.036 & WHITE_BLOOD_CELL_COUNT <= 10.113)
F[0,1](CHLORIDE <= 104.996 & WHITE_BLOOD_CELL_COUNT <= 10.259)
F[0,0](HEMOGLOBIN <= 11.654 & s2_edrk >= -0.006)
((Glasgow_Coma_Scale_Total <= 14.967) U[0,1] (PLATELET_COUNT <= 233.381))
F[0,0](Mort <= 0.739 -> WHITE_BLOOD_CELL_COUNT <= 9.958)
G[0,0](CREATININE <= 0.931 & GLUCOSE >= 149.844)
((BLOOD_UREA_NITROGEN <= 19.556) U[0,1] (Mort >= 0.054))
F[0,0](CHLORIDE >= 102.940 -> HEMOGLOBIN <= 11.755)
((HEMOGLOBIN <= 11.432) U[0,1] (PHOSPHORUS <= 3.874))
F[0,1](direct >= 0.111 | GLUCOSE <= 225.178)
((LOS >= 2.026) U[0,1] (PHOSPHORUS <= 3.832))
G[0,1](dfa <= 0.997 & PHOSPHORUS >= 3.531)
F[0,0](AF <= 0.486 -> CREATININE >= 0.889)
F[0,0](PHOSPHORUS >= 3.516 -> WHITE_BLOOD_CELL_COUNT <= 10.606)
G[0,0](srr <= 0.151 -> TROPONIN_I <= 0.056)
G[1,1](s24_edrk >= -0.007 -> Temp >= 36.904)
G[0,0](GLUCOSE >= 201.972 & MET <= 0.401)
((edrk >= 15.246) U[1,1] (tte <= -0.033))
G[0,0](hr >= 79.098 -> SpO2 <= 97.826)
G[0,1](cosen >= -2.209 | Mort <= 0.750)
G[0,1](s2_hr <= 0.001 -> TROPONIN_I <= 0.045)
G[0,1](death <= 0.627 & s8_edrk <= 0.002)
G[0,1](GLUCOSE >= 161.928 | SpO2 <= 97.159)
((CHLORIDE <= 104.870) U[1,1] (tte >= -3.411))
F[0,1](death >= 0.070 & Resp <= 20.713)
