((CHLORIDE >= 102.857) U[0,1] (ICU_Pt_Days <= 9.946))
((HEMOGLOBIN <= 8.897) U[0,1] (n_evts >= 0.019))
((LOS <= 13.463) U[1,1] (O2_Flow >= 1.479))
((death >= 0.012) U[0,0] (n_evts >= 0.007))
((MAGNESIUM >= 1.612) U[0,1] (y >= 0.018))
((LOS <= 13.798) U[1,1] (Resp <= 19.355))
((cosen >= -2.483) U[0,0] (y >= 0.037))
((direct >= 0.035) U[1,2] (s8_hr <= 0.001))
F[0,0](direct >= 0.032 & HEMOGLOBIN >= 7.668)
G[1,1](MAGNESIUM >= 1.688 -> Mort <= 0.283)
((CREATININE <= 1.026) U[0,0] (Mort >= 0.012))
G[0,1](MET <= 0.291 -> Mort <= 0.529)
((CHLORIDE <= 108.190) U[0,0] (Mort >= 0.020))
((direct >= 0.042) U[1,2] (Temp <= 37.382))
((death >= 0.010) U[1,2] (s2_edrk >= -0.005))
G[0,1](n_evts >= 0.052 -> tte <= -0.012)
G[0,1](Mort >= 0.032 -> s24_edrk <= 0.000)
G[0,0](AF >= 0.003 -> s8_hr <= 0.001)
G[0,1](Glasgow_Coma_Scale_Total >= 14.069 | Mort >= 0.028)
G[0,1](Glasgow_Coma_Scale_Total >= 14.543 | O2_Flow <= 4.519)
G[0,1](Mort >= 0.009 -> s2_edrk <= 0.001)
G[0,1](s8_hr <= 0.000 | SBP <= 164.300)
F[1,1](MET >= 0.012 & n_evts >= 0.033)
F[1,1](AF >= 0.006 & ICU_Pt_Days <= 9.802)
G[0,1](AF <= 0.161 | Glasgow_Coma_Scale_Total >= 14.769)
((CREATININE <= 1.026) U[1,1] (tte <= -0.034))
((AF >= 0.004) U[1,2] (tte >= -2.144))
G[1,1](Pulse >= 79.260 -> s8_edrk <= 0.002)
G[1,1](Glasgow_Coma_Scale_Total >= 14.598 | MET >= 0.005)
G[0,0](ICU_Pt_Days >= 8.476 | srr <= 0.167)
((Resp <= 19.660) U[1,1] (y = 0.516))
((s2_hr <= 0.001) U[0,1] (y = 0.595))
F[0,1](direct > 0.027 & y = 0.580)
G[1,1](edrk <= 36.190 | s24_edrk <= 0.002)
G[0,1](n_evts <= 0.202 -> LOS >= 2.237)
G[0,1](PHOSPHORUS <= 3.337 | PLATELET_COUNT <= 398.776)
G[0,1](lds >= 1.075 -> SBP <= 162.322)
G[1,1](OXYGEN_SATURATION > 94.700 -> y = 0.949)
((MET >= 0.006) U[0,1] (death = 0.025))
G[1,1](n_evts <= 0.408 -> LOS >= 7.499)
G[0,1](n_evts <= 0.145 -> LOS >= 12.059)
G[0,0](HEMOGLOBIN >= 7.994 | PLATELET_COUNT >= 302.362)
F[0,0](ALBUMIN <= 3.200 & y = 0.319)
G[0,1](direct <= 0.470 | tte <= -0.052)
G[0,1](cosen <= -1.535 | MAGNESIUM >= 1.743)
G[0,1](n_evts <= 0.375 -> LOS >= 6.810)
((MET >= 0.011) U[0,1] (death = 0.025))
((MET >= 0.000) U[0,1] (death = 0.025))
G[1,1](Mort <= 0.356 -> tte >= -2.947)
((MAGNESIUM <= 1.876) U[0,1] (y = 0.283))
((Mort >= 0.011) U[0,1] (y = 0.431))
F[1,1](SBP < 164.191 & y = 0.836)
F[1,1](srr < 0.187 & y = 0.822)
((Temp > 35.948) U[0,1] (y = 0.558))
((SpO2 < 98.376) U[0,1] (y = 0.129))
((s8_edrk < 0.001) U[0,0] (y = 0.456))
F[0,1](BLOOD_UREA_NITROGEN <= 27.974 & y = 0.988)
((s24_edrk < 0.000) U[0,1] (y = 0.594))
((MET >= 0.005) U[0,1] (death = 0.025))
F[0,1](Sgy <= 0.000 -> y = 0.152)
((af <= 0.195) U[0,1] (y = 0.478))
((MET >= 0.007) U[0,1] (y = 0.865))
((SODIUM >= 137.018) U[0,1] (y = 0.095))
((n_evts >= 0.049) U[0,0] (y = 0.605))
F[1,1](af >= 0.002 & direct <= 0.063)
((MET >= 0.002) U[0,1] (death = 0.025))
G[0,0](GLUCOSE >= 109.287 | PHOSPHORUS <= 2.722)
F[0,1](n_edrk < 0.962 & y = 0.636)
G[0,1](GLUCOSE >= 99.926 -> lds >= 0.164)
G[0,1](CHLORIDE >= 104.693 -> lds >= 0.465)
G[1,1](cosen <= -2.086 | HEMOGLOBIN >= 7.878)
G[0,1](edrk >= 15.384 | GLUCOSE >= 97.502)
G[1,1](hr >= 71.213 & Pulse >= 76.534)
G[1,1](PHOSPHORUS <= 3.140 | srr >= 0.029)
G[0,1](hr <= 104.471 & Pulse <= 98.898)
G[0,1](LOS >= 9.461 -> SpO2 >= 89.293)
G[0,1](Pulse >= 81.811 | Resp <= 18.137)
G[1,1](GLUCOSE >= 106.564 | Resp <= 18.910)
G[0,1](BLOOD_UREA_NITROGEN <= 24.519 | PROTIME_INR >= 1.143)
G[0,0](Pulse <= 102.886 & Temp >= 35.443)
G[0,1](MAGNESIUM >= 1.799 | Temp >= 35.402)
G[0,1](Resp >= 16.920 -> SpO2 >= 94.899)
G[1,1](hr >= 78.015 & Pulse >= 82.374)
G[0,0](hr >= 78.677 & Pulse >= 71.631)
