((edrk <= 20.670) U[0,1] (LOS >= 0.557))
F[1,1](AF <= 0.408 -> n_evts >= 0.162)
((ICU_Pt_Days >= 0.355) U[1,1] (n_evts >= 0.057))
((edrk >= 13.895) U[0,0] (ICU_Pt_Days >= 0.037))
F[0,1](Pulse <= 106.273 & Resp >= 15.683)
((af <= 0.461) U[0,1] (n_edrk <= 0.845))
((Mort >= 0.170) U[0,0] (n_edrk <= 0.989))
((AF >= 0.000) U[0,1] (n_edrk <= 0.825))
G[1,1](SpO2 >= 89.668 & y <= 0.790)
((cosen >= -2.271) U[0,1] (ICU_Pt_Days >= 1.191))
G[1,1](Glasgow_Coma_Scale_Total <= 14.946 | n_evts <= 0.669)
G[0,0](lds >= 0.862 & n_evts <= 0.613)
((s24_edrk >= -0.003) U[1,1] (y >= 0.135))
((SBP <= 173.326) U[1,1] (tte <= -0.336))
((ICU_Pt_Days <= 2.215) U[0,1] (tte <= -0.155))
F[0,1](ICU_Pt_Days >= 0.152 & LOS <= 11.095)
F[0,0](SBP <= 167.187 -> y >= 0.154)
((MET <= 0.089) U[0,1] (y >= 0.025))
G[0,1](s8_edrk >= -0.004 & tte >= -0.593)
G[0,1](death <= 0.314 & Temp <= 36.903)
((ICU_Pt_Days >= 0.768) U[0,0] (n_edrk <= 0.887))
G[0,1](srr <= 0.105 & Temp <= 37.052)
((cosen >= -2.325) U[1,2] (s2_edrk >= -0.007))
((n_edrk <= 0.925) U[1,2] (srr <= 0.084))
G[0,1](n_edrk >= 0.426 -> y <= 0.772)
G[0,1](hr >= 77.361 -> Mort <= 0.597)
((AF >= 0.006) U[0,1] (O2_Flow >= 2.217))
F[0,1](Resp >= 13.808 & y >= 0.120)
F[0,1]((af <= 0.364 | AF <= 0.460) & cosen >= -2.313)
F[0,0](direct >= 0.165 & SBP <= 180.722)
((LOS >= 0.398) U[1,1] (Mort >= 0.180))
((edrk >= 15.723) U[0,1] (O2_Flow >= 2.031))
F[1,1](af <= 0.208 -> direct >= 0.072)
F[0,0](Mort >= 0.105 & Pulse >= 67.594)
((death <= 0.401) U[0,1] (direct >= 0.007))
