F[1,1](ICU_Pt_Days >= 0.136 | n_evts >= 0.049)
G[0,1](ICU_Pt_Days >= 0.073 -> PHOSPHORUS >= 3.565)
((ICU_Pt_Days >= 0.583) U[1,1] (POTASSIUM <= 4.898))
((n_edrk >= 0.547) U[0,1] (s24_hr <= 0.000))
G[0,1](Pulse >= 81.681 & Resp <= 19.175)
F[0,1](s8_hr <= 0.000 & tte <= -0.086)
G[0,1](hr >= 93.739 & Pulse >= 82.471)
G[0,1](CHLORIDE <= 107.512 -> CREATININE >= 1.127)
G[1,1](CO2 <= 25.730 & direct <= 0.413)
G[0,1](AST_GOT >= 16.841 -> BLOOD_UREA_NITROGEN >= 29.283)
F[0,1](PHOSPHORUS <= 4.581 & y >= 0.146)
G[0,0](n_edrk >= 0.805 & s8_hr <= 0.001)
((CHLORIDE <= 106.004) U[0,1] (direct >= 0.067))
F[0,1](lds <= 2.167 & n_edrk <= 0.921)
((ICU_Pt_Days <= 2.162) U[0,1] (Mort >= 0.017))
((BLOOD_UREA_NITROGEN <= 40.145) U[1,2] (Pulse >= 75.494))
F[0,1](Mort >= 0.065 & Temp <= 37.141)
((MET <= 0.094) U[1,1] (y >= 0.111))
G[0,1](hr >= 91.224 & Pulse >= 71.519)
G[0,0](Mort >= 0.061 -> POTASSIUM >= 4.650)
G[0,1](ALKALINE_PHOSPHATASE <= 171.939 -> hr >= 93.060)
G[1,1](CO2 <= 25.058 | death >= 0.008)
G[0,0](hr >= 85.266 & Pulse >= 70.380)
G[0,1](hr >= 92.525 & Pulse >= 98.710)
G[0,1](hr >= 89.997 & Pulse >= 96.803)
((O2_Flow >= 2.071) U[1,2] (Temp <= 37.137))
G[0,1](ICU_Pt_Days <= 3.240 | O2_Flow >= 2.134)
((death <= 0.455) U[0,1] (n_edrk <= 0.899))
G[0,0](CHLORIDE >= 103.906 | death <= 0.216)
((dfa >= 0.438) U[0,1] (Glasgow_Coma_Scale_Total <= 14.979))
G[1,1](hr >= 98.726 & Pulse >= 97.421)
F[0,1](edrk <= 31.129 -> Glasgow_Coma_Scale_Total <= 14.982)
((n_edrk <= 0.951) U[1,1] (tte >= -2.587))
((direct >= 0.084) U[1,1] (Resp <= 20.764))
G[1,1](hr >= 89.587 & Pulse >= 96.211)
((hr >= 100.212) U[0,1] (n_edrk <= 0.967))
G[0,1](death <= 0.153 -> Resp <= 19.348)
