((CHLORIDE <= 105.103) U[0,1] (LOS <= 13.866))
((death >= 0.005) U[0,0] (LOS <= 13.923))
((LOS <= 13.774) U[0,1] (tte <= -0.011))
((n_edrk >= 0.825) U[0,0] (y >= 0.012))
F[0,1](Mort >= 0.003 & Pulse >= 60.494)
((CHLORIDE <= 105.142) U[1,1] (direct >= 0.007))
G[1,1](CHLORIDE <= 105.952 -> Mort <= 0.592)
F[1,1](AF <= 0.300 & O2_Flow >= 2.011)
((LOS <= 13.781) U[1,2] (y <= 0.606))
F[0,1](ICU_Pt_Days <= 4.329 & Mort >= 0.016)
G[0,0](death >= 0.009 -> GLUCOSE <= 95.655)
((death >= 0.008) U[1,2] (tte >= -3.102))
G[0,0](MET >= 0.002 -> Temp >= 35.957)
G[1,1](AF > 0.001 -> y = 0.279)
G[0,1](LOS >= 8.472 | Pulse <= 87.203)
G[1,1](SODIUM >= 137.989 | Temp <= 37.122)
G[0,1](O2_Flow <= 4.309 | y <= 0.097)
G[0,1](AST_GOT >= 27.956 | SBP <= 164.002)
G[0,1](O2_Flow <= 6.185 | Pulse >= 61.511)
G[0,0](BLOOD_UREA_NITROGEN <= 22.451 | PARTIAL_THROMBOPLASTIN_TIME <= 79.795)
((ALKALINE_PHOSPHATASE > 70.651) U[1,1] (y = 0.126))
F[1,1](lds < 2.889 & y = 0.053)
G[0,1](MET >= 0.000 | n_edrk <= 0.971)
G[0,1](n_evts <= 0.211 -> LOS >= 11.112)
((death < 0.115) U[0,1] (y = 0.102))
F[0,0](ALBUMIN >= 3.222 & PARTIAL_THROMBOPLASTIN_TIME >= 34.112)
((cosen <= -0.740) U[1,1] (y = 0.885))
((af >= 0.217) U[0,1] (y = 0.489))
((GLUCOSE < 99.200) U[0,1] (y = 0.344))
G[0,1](Glasgow_Coma_Scale_Total <= 14.998 | s24_edrk >= -0.001)
G[1,1](n_evts <= 0.217 -> LOS >= 10.000)
G[0,1](ALT_GPT <= 21.616 | TOTAL_PROTEIN <= 6.801)
G[1,1](Glasgow_Coma_Scale_Total >= 14.499 | lds <= 2.762)
G[0,0](ALBUMIN >= 3.209 -> MAGNESIUM <= 2.155)
G[0,1](BLOOD_UREA_NITROGEN <= 27.028 -> MAGNESIUM <= 2.100)
G[0,1](ALKALINE_PHOSPHATASE >= 66.617 -> ALT_GPT >= 20.843)
((MET >= 0.004) U[0,0] (death = 0.009))
((MET >= 0.005) U[0,0] (death = 0.009))
((MET >= 0.001) U[1,1] (death = 0.009))
((s2_edrk < 0.000) U[0,1] (y = 0.096))
F[0,1](ALT_GPT < 21.862 & y = 0.272)
F[0,0](af >= 0.704 & Mort >= 0.014)
((SBP <= 176.987) U[1,1] (y = 0.392))
((LOS < 13.992) U[1,1] (y = 0.673))
((s2_hr >= -0.003) U[0,1] (y = 0.973))
F[0,1](Sgy <= 0.000 -> y = 0.631)
((MET >= 0.004) U[0,1] (death = 0.009))
((MET >= 0.004) U[1,2] (Resp >= 13.567))
F[0,0](Mort >= 0.002 & n_evts <= 0.561)
F[1,1](Pulse < 83.690 & y = 0.396)
((OXYGEN_SATURATION >= 94.700) U[0,1] (y = 0.161))
((MET >= 0.002) U[1,2] (Mort <= 0.037))
((MET >= 0.002) U[0,1] (death = 0.009))
G[0,1](cosen >= -1.439 -> HEMOGLOBIN >= 11.391)
((Mort > 0.014) U[1,1] (y = 0.959))
((s8_edrk < 0.003) U[1,1] (y = 0.158))
G[0,1](PLATELET_COUNT <= 168.608 -> Temp <= 37.322)
G[1,1](n_evts <= 0.670 -> LOS >= 12.237)
G[0,0](ICU_Pt_Days <= 4.649 | MET <= 0.312)
G[1,1](CREATININE <= 1.203 | PLATELET_COUNT <= 163.431)
G[0,1](n_evts <= 0.999 -> LOS >= 11.437)
G[1,1](n_evts <= 0.106 -> LOS >= 8.992)
G[0,1](n_evts <= 0.701 -> LOS >= 2.239)
G[0,0](n_evts <= 0.300 -> LOS >= 11.852)
G[0,0](n_evts <= 0.903 -> LOS >= 12.659)
G[0,1](hr >= 63.865 | LOS >= 4.449)
G[1,1](n_edrk >= 0.539 & tte >= -3.301)
G[0,0](Resp <= 25.432 & SpO2 >= 86.647)
G[0,1](hr >= 68.474 -> Resp <= 24.191)
G[0,1](AST_GOT >= 27.662 | cosen <= -0.315)
G[0,0](af <= 0.777 -> srr >= 0.071)
G[0,1](BLOOD_UREA_NITROGEN <= 26.417 | PROTIME_INR >= 1.137)
F[1,1](ALKALINE_PHOSPHATASE <= 87.382 & BLOOD_UREA_NITROGEN >= 19.503)
G[1,1](af >= 0.680 | hr >= 66.206)
G[1,1](CALCIUM <= 8.948 -> srr <= 0.176)
G[0,0](ALT_GPT >= 21.129 -> CREATININE >= 1.018)
F[0,1](n_edrk <= 0.973 & srr >= 0.060)
G[0,1](BLOOD_UREA_NITROGEN >= 18.035 -> POTASSIUM >= 3.841)
G[0,1](Mort >= 0.007 | SpO2 >= 94.765)
G[0,0](GLUCOSE <= 115.127 & PLATELET_COUNT >= 93.752)
G[0,0](CHLORIDE >= 103.088 & s24_hr >= -0.001)
G[0,0](ALBUMIN <= 3.458 -> BLOOD_UREA_NITROGEN <= 31.824)
G[0,0](BLOOD_UREA_NITROGEN >= 15.525 & HEMOGLOBIN <= 13.593)
