((edrk >= 15.011) U[0,1] (LOS >= 1.846))
F[0,1](hr >= 82.614 | Mort >= 0.189)
G[0,1](MET >= 0.061 | n_evts <= 0.786)
((LOS >= 0.476) U[1,2] (Resp >= 14.932))
((n_evts >= 0.002) U[1,2] (s2_edrk >= -0.007))
((LOS >= 2.373) U[1,2] (s8_edrk >= -0.006))
((AF <= 0.300) U[1,1] (n_evts >= 0.055))
((n_evts >= 0.241) U[0,0] (Pulse >= 78.589))
F[0,0](hr >= 84.474 | MET >= 0.009)
F[1,1](s8_edrk >= -0.001 -> tte <= -0.074)
F[0,0](ICU_Pt_Days >= 0.290 & Resp >= 17.017)
G[0,0](ICU_Pt_Days <= 3.313 & Temp <= 37.205)
F[0,1](MET <= 0.095 -> Pulse >= 80.257)
G[0,1](n_evts <= 0.936 | y <= 0.311)
((O2_Flow <= 6.403) U[0,1] (tte <= -0.395))
F[0,0](lds <= 2.401 -> y >= 0.028)
((SpO2 >= 92.363) U[0,1] (tte <= -0.200))
((hr >= 82.820) U[1,1] (s2_hr <= 0.001))
