((Pulse >= 56.247) U[0,1] (y >= 0.017))
G[0,1](direct <= 0.609 | PROTIME_INR <= 1.189)
F[1,1](direct >= 0.012 | y >= 0.008)
G[0,0](LOS >= 7.482 & s24_edrk >= -0.003)
G[0,0](AF <= 0.121 & direct <= 0.081)
G[0,1](PARTIAL_THROMBOPLASTIN_TIME <= 31.446 & PROTIME_INR <= 1.162)
F[0,1](Glasgow_Coma_Scale_Total <= 14.998 & tte <= -0.031)
((direct >= 0.010) U[0,1] (Glasgow_Coma_Scale_Total <= 14.993))
F[0,1](WHITE_BLOOD_CELL_COUNT >= 10.019 -> y = 0.740)
F[0,1](Glasgow_Coma_Scale_Total <= 14.994 & Temp <= 36.674)
G[0,0](BLOOD_UREA_NITROGEN >= 26.228 | HEMOGLOBIN <= 9.581)
G[0,0](AF >= 0.000 & WHITE_BLOOD_CELL_COUNT >= 9.852)
F[1,1](death >= 0.003 & SODIUM >= 134.060)
((death <= 0.727) U[0,1] (MET >= 0.002))
((LOS <= 10.101) U[0,1] (MET >= 0.002))
G[0,1](Glasgow_Coma_Scale_Total <= 14.996 | PROTIME_INR <= 1.184)
G[0,1](ICU_Pt_Days >= 0.791 -> s8_edrk >= -0.004)
G[0,0](death >= 0.010 -> s8_edrk >= -0.007)
G[1,1](CREATININE >= 0.972 -> Resp >= 14.892)
((SpO2 <= 95.931) U[1,1] (y >= 0.010))
G[0,1](BLOOD_UREA_NITROGEN <= 29.778 | WHITE_BLOOD_CELL_COUNT >= 12.025)
G[0,1](CHLORIDE <= 100.097 -> TOTAL_BILIRUBIN <= 1.000)
G[1,1](ALKALINE_PHOSPHATASE <= 85.431 | CO2 <= 30.182)
G[1,1](GLUCOSE <= 129.505 -> WHITE_BLOOD_CELL_COUNT <= 16.177)
((Mort < 0.420) U[0,1] (y = 0.630))
F[1,1](death >= 0.006 & PARTIAL_THROMBOPLASTIN_TIME <= 30.457)
F[1,1](CHLORIDE >= 98.094 & y = 0.820)
((LOS > 2.423) U[0,1] (y = 0.226))
((MET >= 0.005) U[0,1] (death = 0.014))
G[0,1](ALT_GPT <= 25.933 | SBP >= 84.958)
F[0,1](n_evts <= 0.370 & y = 0.039)
((n_evts >= 0.038) U[1,1] (PARTIAL_THROMBOPLASTIN_TIME <= 29.066))
F[0,0](AF >= 0.003 & HEMOGLOBIN <= 8.940)
((MET >= 0.003) U[0,1] (death = 0.014))
F[1,1](Sgy < 0.000 & y = 0.215)
((OXYGEN_SATURATION <= 94.700) U[1,1] (y = 0.615))
((MET >= 0.002) U[0,0] (death = 0.014))
((lds < 1.686) U[0,1] (y = 0.373))
((GLUCOSE > 88.987) U[0,1] (y = 0.174))
F[0,0](Glasgow_Coma_Scale_Total >= 14.201 & y = 0.029)
((PLATELET_COUNT < 211.744) U[0,0] (y = 0.223))
F[0,1](SBP >= 70.803 & y = 0.152)
F[0,0](s2_hr > -0.001 & y = 0.219)
((AST_GOT <= 49.002) U[0,1] (y = 0.340))
F[0,0](TOTAL_BILIRUBIN >= 0.796 & y = 0.831)
((direct <= 0.826) U[0,0] (y = 0.680))
G[0,1](s24_hr >= -0.000 | s8_hr <= 0.001)
G[1,1](cosen >= -2.487 | hr <= 83.537)
((dfa < 0.928) U[1,1] (y = 0.044))
G[0,1](n_evts <= 0.131 -> LOS >= 3.618)
G[0,1](direct <= 0.638 | s24_hr >= -2.3769555366801682e-05)
G[0,0](n_evts <= 0.552 -> LOS >= 5.881)
G[0,1](n_evts <= 0.242 -> LOS >= 2.250)
G[0,1](n_evts <= 0.267 -> LOS >= 6.283)
G[0,1](n_evts <= 0.574 -> LOS >= 2.577)
G[0,1](Pulse >= 60.386 | s24_hr <= 0.001)
G[0,0](hr <= 112.250 -> srr <= 0.174)
G[0,1](ALBUMIN >= 2.898 -> CREATININE >= 0.887)
G[0,0](CHLORIDE >= 98.373 | PLATELET_COUNT <= 227.653)
G[0,1](death <= 0.154 | LOS <= 8.979)
G[0,1](ALBUMIN <= 3.188 -> lds >= 0.781)
((Mort >= 0.007) U[1,2] (SpO2 <= 97.585))
G[0,0](MAGNESIUM >= 1.871 -> Resp <= 24.266)
F[0,0](MET >= 0.004 | n_edrk <= 0.963)
((MET >= 0.003) U[1,2] (PARTIAL_THROMBOPLASTIN_TIME <= 30.715))
((death >= 0.005) U[0,1] (n_edrk <= 0.960))
G[0,1](PARTIAL_THROMBOPLASTIN_TIME >= 27.479 | PLATELET_COUNT >= 114.029)
F[0,1](HEMOGLOBIN <= 9.615 -> n_edrk <= 0.957)
G[1,1](lds >= 1.365 -> Pulse >= 68.099)
G[0,0](hr >= 69.784 | y >= 0.006)
G[0,1](hr >= 65.305 & Pulse >= 58.984)
F[0,0](CREATININE >= 0.803 -> PROTIME_INR >= 1.103)
G[0,1](hr <= 85.308 | s24_hr >= -0.000)
G[0,1](ALBUMIN >= 2.822 -> srr >= 0.034)
G[0,1](hr >= 68.690 & Pulse >= 66.736)
G[0,0](PARTIAL_THROMBOPLASTIN_TIME >= 27.527 -> PHOSPHORUS >= 3.416)
G[1,1](CREATININE <= 1.034 | WHITE_BLOOD_CELL_COUNT <= 15.116)
F[0,1](srr < 0.124 -> y = 0.957)
F[0,1](Resp < 23.135 -> y = 0.084)
G[0,0](cosen >= -2.107 | SpO2 >= 92.874)
G[0,0](cosen <= -2.013 | Pulse <= 86.230)
G[0,0](af >= 0.015 | SBP >= 99.278)
