((Glasgow_Coma_Scale_Total <= 14.993) U[0,0] (n_evts >= 0.044))
((CHLORIDE >= 105.907) U[0,1] (n_evts >= 0.014))
G[0,0](dfa <= 1.116 & n_evts <= 0.325)
G[0,1](LOS <= 10.460 -> n_evts <= 0.861)
((s24_hr >= -0.000) U[0,1] (y >= 0.005))
G[1,1](direct <= 0.652 & SpO2 >= 89.126)
((BLOOD_UREA_NITROGEN <= 17.644) U[0,1] (O2_Flow >= 2.004))
((CHLORIDE >= 105.124) U[0,1] (O2_Flow >= 2.062))
F[0,1](death >= 0.014 & s2_edrk <= 0.000)
G[1,1](Temp >= 36.849 | y <= 0.106)
G[0,0](Glasgow_Coma_Scale_Total >= 14.655 & s24_hr <= 0.001)
G[0,1](s24_edrk >= -0.006 & s8_edrk >= -0.002)
F[0,1](MET >= 0.005 & Mort >= 0.027)
F[0,1](MET >= 0.002 & s2_edrk >= -0.000)
((CHLORIDE >= 104.089) U[0,0] (Glasgow_Coma_Scale_Total <= 14.990))
G[0,1](LOS >= 7.800 | Mort >= 0.016)
G[0,1](Mort >= 0.010 -> y <= 0.500)
((MET >= 0.001) U[1,1] (death = 0.016))
((CO2 > 20.631) U[0,1] (y = 0.907))
((n_evts <= 0.919) U[1,1] (tte <= -0.048))
((BLOOD_UREA_NITROGEN > 11.792) U[0,0] (y = 0.069))
((direct >= 0.002) U[0,1] (y = 0.539))
F[0,0](s8_edrk < 0.001 & y = 0.841)
((MET >= 0.002) U[0,1] (death = 0.016))
F[1,1](SpO2 > 93.253 & y = 0.717)
((AF <= 0.321) U[0,1] (y = 0.841))
((O2_Flow > 2.028) U[0,1] (y = 0.103))
((s24_hr >= -0.001) U[1,1] (y = 0.069))
((MET >= 0.001) U[0,0] (death = 0.016))
((PCO2 >= 39.500) U[0,0] (y = 0.972))
F[0,1](s24_edrk >= -0.000 & y = 0.414)
((AF >= 0.002) U[1,1] (O2_Flow <= 2.078))
((CREATININE > 0.906) U[0,1] (y = 0.388))
((edrk < 33.064) U[1,1] (y = 0.220))
((MET >= 0.005) U[0,1] (death = 0.016))
((WHITE_BLOOD_CELL_COUNT <= 9.454) U[1,1] (y = 0.071))
((PROTIME_INR <= 1.246) U[0,0] (y = 0.236))
((TOTAL_BILIRUBIN <= 0.932) U[1,1] (y = 0.132))
F[0,0](lds >= 1.170 & y = 0.714)
F[0,0](s8_hr >= -0.001 & y = 0.345)
F[0,1](ALBUMIN <= 2.963 & y = 0.653)
F[0,1](POTASSIUM < 4.273 & y = 0.929)
F[0,1](MAGNESIUM < 2.023 & y = 0.857)
((tte > -3.077) U[0,1] (y = 0.475))
((n_edrk < 0.975) U[0,1] (y = 0.704))
G[0,0](MAGNESIUM >= 1.870 | PLATELET_COUNT >= 202.733)
G[0,1](n_evts <= 0.289 -> LOS >= 4.997)
G[0,0](n_evts <= 0.229 -> LOS >= 2.794)
G[1,1](n_evts <= 0.822 -> LOS >= 7.567)
G[0,0](n_evts <= 0.986 -> LOS >= 3.082)
G[1,1](n_evts <= 0.420 -> LOS >= 3.691)
G[1,1](death >= 0.005 | s8_edrk >= -0.003)
G[0,0](n_evts <= 0.222 -> LOS >= 2.431)
G[0,1](GLUCOSE >= 93.090 | Pulse >= 70.084)
G[0,0](TOTAL_PROTEIN < 6.300 -> y = 0.485)
G[0,0](n_evts <= 0.771 -> LOS >= 5.677)
G[0,1](direct >= 0.008 -> n_evts >= 0.025)
G[0,0](ALBUMIN <= 2.974 -> TOTAL_BILIRUBIN >= 0.768)
G[1,1](edrk <= 36.205 | MET <= 0.605)
G[0,1](AF <= 0.375 -> s24_hr <= 0.001)
G[0,1](BLOOD_UREA_NITROGEN <= 16.540 -> SpO2 >= 92.014)
G[0,1](death >= 0.011 -> Mort >= 0.022)
G[0,1](n_evts <= 0.536 -> LOS >= 5.662)
G[0,1](ALBUMIN <= 2.955 | AST_GOT <= 43.800)
G[1,1](BLOOD_UREA_NITROGEN >= 11.707 | LOS <= 10.414)
G[0,0](PLATELET_COUNT <= 258.729 | SODIUM >= 132.917)
G[0,1](dfa <= 1.002 | SpO2 >= 94.605)
G[0,1](ALBUMIN >= 2.820 -> CO2 >= 20.032)
G[0,0](CO2 <= 25.156 | dfa <= 0.439)
G[0,0](POTASSIUM <= 4.474 -> srr >= 0.028)
G[1,1](Glasgow_Coma_Scale_Total <= 14.993 | s2_edrk <= 0.001)
((CHLORIDE <= 107.071) U[0,1] (n_edrk <= 0.947))
G[0,1](ALT_GPT <= 39.723 -> SODIUM <= 136.833)
F[0,0](BLOOD_UREA_NITROGEN <= 13.757 & CREATININE >= 0.915)
((BLOOD_UREA_NITROGEN >= 10.470) U[1,1] (PROTIME_INR >= 1.203))
F[0,0](CREATININE >= 0.913 & PLATELET_COUNT >= 244.696)
G[0,1](srr <= 0.149 | TOTAL_BILIRUBIN <= 0.859)
G[0,1](CO2 >= 20.495 & direct <= 0.508)
F[0,1](Temp < 38.848 -> y = 0.387)
G[0,1](ALKALINE_PHOSPHATASE >= 76.978 | OXYGEN_SATURATION >= 95.276)
F[0,1](hr >= 70.190 -> MET >= 0.003)
G[0,0](GLUCOSE >= 94.337 -> Resp <= 31.023)
G[0,0](ALT_GPT >= 25.714 | CO2 <= 24.340)
G[0,1](dfa >= 0.288 | HEMOGLOBIN >= 10.205)
G[0,0](OXYGEN_SATURATION >= 95.389 | PLATELET_COUNT >= 224.471)
F[0,0](PARTIAL_THROMBOPLASTIN_TIME <= 31.756 & SODIUM >= 131.271)
G[0,1](ALT_GPT >= 24.180 | PROTIME_INR <= 1.227)
G[0,1](HEMOGLOBIN <= 10.638 -> Resp <= 21.046)
G[0,1](Temp <= 38.417 & tte >= -0.421)
F[0,0](edrk >= 20.404 -> tte <= -0.051)
