((n_edrk <= 0.995) U[1,1] (PLATELET_COUNT >= 97.369))
((cosen >= -2.492) U[0,1] (SpO2 <= 99.189))
((Mort <= 0.909) U[0,0] (n_edrk <= 0.949))
((HEMOGLOBIN >= 10.428) U[0,1] (tte <= -0.061))
F[0,1](Pulse >= 67.516 & tte <= -0.054)
F[0,0](ICU_Pt_Days >= 0.577 & Pulse <= 97.646)
G[1,1](BLOOD_UREA_NITROGEN >= 9.399 -> Glasgow_Coma_Scale_Total <= 14.307)
((s8_hr >= -0.005) U[0,1] (y >= 0.020))
((srr <= 0.133) U[0,1] (y >= 0.099))
((CO2 >= 21.812) U[1,1] (y >= 0.063))
((GLUCOSE >= 122.776) U[0,0] (tte <= -0.159))
F[0,0](Pulse <= 94.269 -> y >= 0.116)
G[0,1](s24_edrk >= -0.005 & s8_edrk <= 0.001)
((direct <= 0.711) U[0,1] (hr >= 69.365))
((MET >= 0.016) U[0,0] (Mort >= 0.120))
G[0,1](direct <= 0.894 | WHITE_BLOOD_CELL_COUNT >= 8.695)
G[1,1](LOS <= 8.397 & s8_edrk <= 0.002)
G[0,1](CHLORIDE <= 107.318 -> cosen <= -2.134)
F[0,1](direct >= 0.080 & PHOSPHORUS >= 2.474)
F[1,1](direct <= 0.931 -> y = 0.902)
F[0,0](Glasgow_Coma_Scale_Total >= 14.039 & Mort <= 0.462)
((CALCIUM <= 8.873) U[0,0] (Mort >= 0.063))
((BLOOD_UREA_NITROGEN >= 10.118) U[0,1] (Pulse >= 68.943))
((CHLORIDE <= 105.622) U[0,1] (O2_Flow >= 2.106))
((Glasgow_Coma_Scale_Total <= 14.438) U[0,1] (O2_Flow >= 2.083))
((ICU_Pt_Days >= 0.631) U[1,1] (Mort >= 0.122))
G[0,1](ICU_Pt_Days <= 0.884 | O2_Flow <= 3.871)
G[0,1](direct <= 0.268 -> ICU_Pt_Days <= 1.264)
((Mort <= 0.371) U[1,1] (tte <= -0.200))
((Glasgow_Coma_Scale_Total <= 14.749) U[0,1] (PLATELET_COUNT >= 125.468))
((ICU_Pt_Days >= 0.295) U[0,1] (WHITE_BLOOD_CELL_COUNT <= 8.929))
((CALCIUM <= 8.884) U[0,0] (HEMOGLOBIN <= 10.439))
((cosen >= -2.376) U[0,1] (WHITE_BLOOD_CELL_COUNT <= 8.883))
((CALCIUM <= 8.854) U[0,1] (WHITE_BLOOD_CELL_COUNT <= 8.787))
((direct >= 0.070) U[0,0] (PLATELET_COUNT >= 110.426))
G[0,1](MAGNESIUM <= 2.115 -> PLATELET_COUNT <= 205.187)
G[0,0](lds <= 1.786 & PLATELET_COUNT <= 198.240)
G[0,1](s2_edrk <= 0.004 -> Temp >= 36.532)
G[0,1](Glasgow_Coma_Scale_Total <= 14.888 -> y <= 0.674)
G[0,1](PARTIAL_THROMBOPLASTIN_TIME >= 30.050 -> SODIUM >= 137.660)
F[0,1](dfa >= 0.537 -> PARTIAL_THROMBOPLASTIN_TIME >= 29.829)
F[0,0](HEMOGLOBIN >= 10.220 -> PHOSPHORUS >= 2.551)
F[1,1](death <= 0.155 -> MAGNESIUM <= 2.163)
((cosen >= -2.472) U[0,1] (GLUCOSE <= 136.580))
((CO2 <= 24.680) U[0,0] (GLUCOSE <= 132.945))
G[0,1](Mort <= 0.443 & PARTIAL_THROMBOPLASTIN_TIME <= 31.517)
((death <= 0.615) U[0,1] (PARTIAL_THROMBOPLASTIN_TIME >= 30.592))
F[0,1](CHLORIDE >= 102.974 -> SpO2 <= 99.911)
((HEMOGLOBIN <= 10.446) U[0,1] (SODIUM <= 138.366))
G[0,1](BLOOD_UREA_NITROGEN >= 7.341 -> CHLORIDE >= 103.441)
F[0,1](CO2 <= 23.310 -> y = 0.582)
G[1,1](CREATININE <= 1.078 & Mort <= 0.682)
G[1,1](PHOSPHORUS >= 2.671 -> y = 0.122)
G[0,1](death <= 0.302 & SODIUM >= 138.117)
G[0,1](BLOOD_UREA_NITROGEN >= 12.651 -> srr >= 0.062)
G[1,1](PHOSPHORUS <= 3.002 & srr >= 0.032)
G[1,1](Pulse <= 102.716 & Resp >= 16.951)
G[0,1](cosen >= -2.401 -> dfa >= 0.473)
