((LOS >= 2.586) U[0,1] (SBP <= 152.525))
((hr >= 58.412) U[0,0] (LOS >= 1.662))
G[0,1](hr >= 53.541 & SBP >= 143.626)
((CHLORIDE <= 107.668) U[0,1] (LOS >= 2.454))
((CO2 >= 25.407) U[1,1] (ICU_Pt_Days >= 0.866))
F[0,1](srr <= 0.113 & tte <= -0.074)
((GLUCOSE >= 126.628) U[0,0] (n_edrk <= 0.935))
((LOS >= 2.542) U[1,1] (Resp >= 17.410))
((direct >= 0.105) U[0,1] (n_edrk <= 0.846))
F[1,1](dfa >= 0.813 -> tte <= -0.020)
G[0,0](AF <= 0.227 & y <= 0.667)
F[0,1](dfa >= 0.790 -> LOS >= 2.595)
F[0,1](PHOSPHORUS >= 3.301 & Resp <= 19.175)
((MAGNESIUM >= 1.912) U[1,1] (Resp <= 18.026))
((hr >= 65.986) U[1,1] (Mort >= 0.145))
((Glasgow_Coma_Scale_Total >= 14.278) U[0,1] (O2_Flow >= 2.045))
((n_evts <= 0.932) U[0,1] (O2_Flow >= 2.018))
G[0,1](af <= 0.050 -> direct <= 0.383)
((MAGNESIUM <= 1.998) U[0,1] (Mort >= 0.053))
G[0,1](direct >= 0.011 -> PHOSPHORUS <= 3.448)
F[0,1](Mort >= 0.050 & n_evts >= 0.198)
((ICU_Pt_Days <= 4.601) U[0,1] (SBP <= 161.037))
