((CALCIUM >= 8.314) U[0,1] (ICU_Pt_Days >= 0.019))
F[0,1](LOS >= 2.371 -> tte <= -0.007)
((hr >= 75.203) U[0,1] (tte <= -0.017))
G[0,1](CALCIUM >= 8.473 -> HEMOGLOBIN >= 10.673)
G[0,0](n_edrk >= 0.059 -> n_evts <= 0.764)
G[0,1](direct <= 0.055 & hr <= 110.627)
G[0,1](PHOSPHORUS >= 1.773 -> y <= 0.284)
G[0,1](CREATININE <= 0.836 & tte >= -2.542)
F[0,1](CO2 <= 29.275 & y >= 0.009)
G[0,0](lds <= 2.371 & n_evts <= 0.432)
G[1,1](LOS >= 6.360 & srr <= 0.223)
G[1,1](Mort <= 0.253 | SODIUM <= 134.077)
G[0,0](SpO2 <= 98.625 -> y <= 0.215)
F[0,1](direct >= 0.021 & s24_edrk >= -0.003)
G[0,1](Pulse >= 70.353 -> s2_edrk <= 0.002)
G[0,1](LOS <= 11.593 & s2_edrk >= -0.007)
((Mort >= 0.019) U[1,1] (Pulse <= 112.163))
((ICU_Pt_Days >= 0.087) U[1,2] (LOS >= 6.510))
G[1,1](PHOSPHORUS <= 2.801 | SpO2 <= 97.798)
G[0,1](direct <= 0.043 | edrk >= 16.938)
((death >= 0.007) U[1,1] (lds <= 2.312))
G[1,1](MET <= 0.993 & Pulse <= 94.048)
G[0,1](s24_edrk >= -6.359419667783389e-05 -> tte >= -2.369)
((death >= 0.005) U[0,0] (MET >= 0.002))
((lds >= 1.198) U[0,1] (MET >= 0.007))
((hr >= 67.523) U[1,1] (MET >= 0.002))
G[0,1](s24_hr <= 0.001 | Temp >= 36.764)
G[0,1](MET <= 0.211 & s24_edrk >= -0.004)
G[0,1](MET >= 0.002 -> Mort <= 0.715)
G[0,1](n_evts >= 0.019 -> tte >= -1.245)
G[0,1](Pulse >= 72.562 -> s8_edrk <= 0.003)
G[0,1](death >= 0.015 -> edrk <= 35.356)
G[0,1](dfa >= 0.442 | s8_edrk >= -0.003)
G[0,0](death >= 0.008 -> Pulse <= 82.987)
G[1,1](CO2 <= 30.640 -> SBP >= 63.480)
G[0,0](edrk >= 14.250 | LOS >= 6.309)
G[0,1](Mort >= 0.006 -> srr >= 0.005)
G[0,0](ICU_Pt_Days >= 0.004 -> s2_edrk >= -0.007)
G[0,1](death >= 0.004 -> PHOSPHORUS >= 1.973)
G[0,0](n_edrk >= 0.037 | O2_Flow <= 3.362)
G[0,1](hr <= 101.436 | ICU_Pt_Days >= 0.085)
G[0,0](GLUCOSE >= 111.899 | Pulse <= 99.447)
G[0,1](HEMOGLOBIN >= 12.173 | WHITE_BLOOD_CELL_COUNT >= 6.699)
((s24_edrk >= -0.003) U[0,1] (y = 0.287))
((PROTIME_INR < 1.200) U[1,1] (y = 0.417))
((MET >= 0.007) U[1,1] (death = 0.015))
F[1,1](srr > 0.035 & y = 0.007)
G[0,1](n_evts <= 0.179 -> LOS >= 4.514)
((CALCIUM <= 8.688) U[0,1] (y = 0.683))
F[0,0](Mort <= 0.999 & y = 0.430)
((GLUCOSE > 115.419) U[1,1] (y = 0.050))
((MET > 0.005) U[0,1] (y = 0.432))
F[0,1](SBP >= 72.443 & y = 0.717)
G[0,0](AF <= 0.013 | hr >= 68.582)
((MET >= 0.005) U[0,1] (death = 0.015))
((AF >= 0.003) U[1,2] (y <= 0.965))
((MET >= 0.001) U[0,1] (death = 0.015))
F[0,0](ICU_Pt_Days >= 0.133 & y = 0.950)
((HEMOGLOBIN >= 10.593) U[1,1] (Mort >= 0.021))
F[0,0](PARTIAL_THROMBOPLASTIN_TIME <= 31.800 & y = 0.566)
F[0,1](PCO2 <= 39.500 -> y = 0.385)
G[0,1](AF <= 0.383 | direct >= 0.009)
F[0,1](af > 0.001 & y = 0.756)
G[0,1](ALKALINE_PHOSPHATASE < 91.000 -> y = 0.166)
G[0,1](HEMOGLOBIN <= 12.705 | lds >= 0.748)
G[0,0](CO2 <= 31.628 | WHITE_BLOOD_CELL_COUNT >= 8.937)
G[0,1](dfa <= 0.957 | hr >= 66.007)
G[0,1](n_evts <= 0.651 -> LOS >= 5.443)
G[1,1](n_evts <= 0.992 -> LOS >= 6.133)
G[0,0](n_evts <= 0.726 -> LOS >= 5.095)
G[0,0](n_evts <= 0.479 -> LOS >= 3.133)
G[0,1](n_evts <= 0.967 -> LOS >= 6.175)
G[1,1](hr <= 114.000 -> s24_hr >= -0.001)
G[0,1](cosen <= -1.756 | Glasgow_Coma_Scale_Total <= 14.954)
G[1,1](CALCIUM >= 8.484 | edrk >= 14.195)
G[0,1](cosen >= -2.550 | edrk >= 13.176)
G[0,1](PLATELET_COUNT >= 147.935 | Resp >= 17.907)
G[1,1](CHLORIDE <= 98.696 | srr <= 0.086)
G[1,1](PLATELET_COUNT <= 192.438 & tte >= -0.603)
F[0,1](PLATELET_COUNT <= 203.856 -> y >= 0.024)
G[0,1](Glasgow_Coma_Scale_Total >= 14.127 -> Resp >= 15.588)
F[0,1](Glasgow_Coma_Scale_Total > 14.704 -> y = 0.042)
G[0,0](edrk >= 17.277 -> PLATELET_COUNT <= 179.465)
G[0,1](hr >= 76.714 -> PLATELET_COUNT >= 149.613)
G[0,0](cosen <= -1.049 -> srr <= 0.068)
G[1,1](n_edrk < 0.920 -> y = 0.818)
