((CALCIUM <= 9.025) U[1,1] (LOS >= 1.752))
((Glasgow_Coma_Scale_Total <= 14.997) U[0,1] (n_evts >= 0.079))
((LOS >= 1.314) U[1,2] (s24_edrk <= 0.003))
G[0,1](ICU_Pt_Days >= 0.567 -> PLATELET_COUNT >= 218.964)
F[1,1](Mort <= 0.786 -> tte <= -0.102)
G[1,1](MET >= 0.025 | n_evts <= 0.372)
F[0,1](hr <= 100.902 -> n_edrk <= 0.854)
((af >= 0.003) U[0,1] (y >= 0.052))
G[1,1](cosen <= -1.282 -> y <= 0.331)
((hr >= 68.356) U[0,1] (tte <= -0.098))
((PHOSPHORUS >= 3.516) U[0,1] (tte <= -0.139))
G[1,1](CALCIUM >= 8.967 | GLUCOSE >= 121.290)
G[1,1](n_edrk <= 0.838 -> y = 0.883)
((BLOOD_UREA_NITROGEN >= 21.205) U[0,0] (PLATELET_COUNT <= 237.546))
F[1,1](CALCIUM >= 8.936 -> y >= 0.098)
((CALCIUM <= 9.095) U[0,1] (WHITE_BLOOD_CELL_COUNT >= 4.325))
((ICU_Pt_Days >= 0.532) U[1,2] (Pulse <= 102.691))
((MAGNESIUM >= 2.156) U[0,0] (WHITE_BLOOD_CELL_COUNT >= 4.812))
F[1,1](BLOOD_UREA_NITROGEN <= 26.460 & CREATININE >= 1.100)
((PLATELET_COUNT >= 227.437) U[0,1] (WHITE_BLOOD_CELL_COUNT >= 3.570))
F[1,1](CHLORIDE >= 102.216 -> y = 0.661)
G[0,1](HEMOGLOBIN >= 7.442 -> PLATELET_COUNT >= 229.748)
G[1,1](HEMOGLOBIN <= 10.157 & O2_Flow <= 3.787)
G[0,1](hr >= 67.982 -> WHITE_BLOOD_CELL_COUNT <= 8.046)
F[0,0](BLOOD_UREA_NITROGEN <= 24.776 & CREATININE >= 1.100)
G[0,1](MAGNESIUM >= 2.070 & SBP <= 125.943)
F[0,0](BLOOD_UREA_NITROGEN <= 26.457 & CREATININE >= 1.100)
F[0,1](edrk <= 31.401 & hr >= 73.303)
((CALCIUM >= 8.986) U[0,1] (n_edrk <= 0.879))
((BLOOD_UREA_NITROGEN <= 26.891) U[0,0] (n_edrk <= 0.839))
((CO2 <= 28.739) U[0,1] (SODIUM >= 136.058))
((BLOOD_UREA_NITROGEN >= 22.112) U[0,0] (GLUCOSE <= 130.723))
F[0,0](direct >= 0.116 & POTASSIUM <= 4.690)
F[0,0](BLOOD_UREA_NITROGEN <= 25.865 | HEMOGLOBIN >= 7.284)
F[0,1](CHLORIDE <= 102.999 & MAGNESIUM <= 2.230)
((AF <= 0.396) U[0,1] (BLOOD_UREA_NITROGEN <= 25.750))
G[1,1](direct <= 0.538 -> n_evts <= 0.371)
G[0,1](AF <= 0.426 & CALCIUM >= 8.925)
G[1,1](n_evts <= 0.384 & Temp <= 36.465)
G[0,0](hr <= 99.739 -> ICU_Pt_Days <= 2.885)
G[0,0](Mort <= 0.955 | n_edrk >= 0.822)
G[0,1](ICU_Pt_Days <= 2.870 -> n_evts <= 0.632)
F[1,1](edrk <= 25.437 & GLUCOSE <= 128.692)
((CALCIUM <= 9.073) U[1,1] (Temp >= 36.167))
G[0,1](AF <= 0.151 -> CHLORIDE >= 102.350)
F[1,1](edrk <= 20.128 & PLATELET_COUNT <= 241.325)
((direct >= 0.058) U[1,2] (s8_hr <= 0.001))
((POTASSIUM <= 4.666) U[1,2] (SBP <= 162.234))
F[0,0](LOS >= 2.373 & tte >= -0.283)
G[0,0](CALCIUM >= 8.935 | edrk <= 17.844)
((CO2 <= 28.546) U[1,2] (tte >= -3.658))
((LOS >= 2.395) U[1,2] (Temp >= 35.620))
((death >= 0.018) U[1,2] (s2_edrk <= 0.002))
F[0,1](death < 0.950 -> y = 0.686)
G[0,1](death >= 0.048 | WHITE_BLOOD_CELL_COUNT <= 7.214)
((GLUCOSE <= 132.318) U[1,2] (LOS <= 11.565))
F[1,1](death <= 0.693 & MAGNESIUM <= 2.261)
F[1,1](lds >= 0.165 & SpO2 <= 98.844)
