((GLUCOSE <= 206.908) U[0,0] (y >= 0.024))
G[0,1](ALKALINE_PHOSPHATASE <= 95.130 & y <= 0.225)
G[0,1](LACTIC_ACID <= 2.897 & y <= 0.385)
((CO2 <= 26.685) U[1,1] (y >= 0.111))
((MET <= 0.618) U[1,1] (y >= 0.076))
G[0,1](Resp >= 16.444 -> WHITE_BLOOD_CELL_COUNT <= 9.831)
G[0,0](ALT_GPT >= 28.406 | TROPONIN_I >= 0.023)
G[1,1](s8_hr <= 0.001 & TOTAL_BILIRUBIN <= 1.232)
G[0,1](ALT_GPT >= 23.693 -> PROTIME_INR <= 1.410)
G[0,1](OXYGEN_SATURATION <= 99.147 & TOTAL_BILIRUBIN <= 2.148)
F[0,1](ALKALINE_PHOSPHATASE <= 98.434 -> OXYGEN_SATURATION >= 94.841)
F[0,0](CREATININE <= 1.371 -> LACTIC_ACID >= 1.318)
F[0,1](PCO2 <= 39.132 & s8_hr >= -0.001)
((AST_GOT <= 92.907) U[0,0] (PCO2 <= 38.924))
((ALKALINE_PHOSPHATASE <= 91.993) U[0,0] (PCO2 <= 38.921))
((BLOOD_UREA_NITROGEN <= 31.666) U[0,0] (PCO2 <= 39.232))
((ALBUMIN >= 3.239) U[1,1] (OXYGEN_SATURATION >= 94.831))
G[0,1](LACTIC_ACID >= 1.348 -> TROPONIN_I >= 0.043)
G[0,0](SODIUM <= 140.264 | Temp >= 36.112)
G[0,1](PROTIME_INR >= 1.155 -> SODIUM >= 132.721)
G[0,1](SODIUM >= 130.384 | y <= 0.834)
F[1,1](ALKALINE_PHOSPHATASE < 98.230 -> y = 0.033)
F[1,1](LOS >= 9.393 -> Mort >= 0.016)
((BLOOD_UREA_NITROGEN <= 40.129) U[1,1] (LACTIC_ACID >= 1.420))
G[0,1](hr >= 79.950 & Pulse >= 75.590)
G[0,0](ALT_GPT <= 69.163 -> hr >= 84.740)
F[1,1](HEMOGLOBIN <= 14.008 & Mort >= 0.003)
G[0,1](hr >= 81.211 & s8_hr >= -0.001)
G[0,0](ALBUMIN <= 3.628 -> PCO2 >= 34.139)
G[0,1](LOS <= 11.482 & s8_edrk >= -0.006)
((cosen <= -0.139) U[0,0] (death >= 0.004))
G[0,1](LOS >= 7.282 | O2_Flow <= 3.053)
((Mort >= 0.015) U[1,2] (srr <= 0.125))
((af >= 0.002) U[1,1] (srr >= 0.024))
G[0,1](ALBUMIN >= 3.241 | edrk <= 36.680)
G[0,0](LOS >= 9.319 | MET <= 0.551)
G[0,1](s24_edrk <= 0.004 & s2_edrk >= -0.006)
G[1,1](hr >= 94.008 -> MET <= 0.809)
G[0,1](GLUCOSE >= 64.137 | MAGNESIUM <= 2.176)
G[0,1](PLATELET_COUNT <= 209.150 | s8_hr <= 0.001)
((death < 0.983) U[0,1] (y = 0.420))
((n_evts < 1.000) U[1,1] (y = 0.184))
((MET >= 0.005) U[0,1] (death = 0.012))
((MET >= 0.006) U[0,1] (death = 0.012))
F[1,1](death <= 0.985 & MET >= 0.004)
((direct <= 0.985) U[1,1] (LOS >= 6.633))
F[1,1](dfa <= 1.534 & y = 0.514)
((WHITE_BLOOD_CELL_COUNT <= 9.260) U[0,0] (y = 0.397))
((PHOSPHORUS <= 3.922) U[0,1] (y = 0.552))
((MET >= 0.004) U[0,0] (death = 0.012))
((SBP >= 90.470) U[0,1] (y = 0.542))
F[1,1](lds <= 2.209 & y = 0.296)
((MET < 0.045) U[0,1] (y = 0.325))
((ALBUMIN > 3.122) U[1,1] (y = 0.831))
((CREATININE < 1.341) U[0,0] (y = 0.509))
((TOTAL_BILIRUBIN <= 1.471) U[0,0] (y = 0.515))
((HEMOGLOBIN > 10.234) U[0,0] (y = 0.172))
F[0,1](LOS < 10.657 & y = 0.738)
F[0,1](OXYGEN_SATURATION > 94.772 & y = 0.394)
G[0,1](CO2 <= 26.095 | GLUCOSE <= 257.867)
G[1,1](ALKALINE_PHOSPHATASE <= 93.106 | WHITE_BLOOD_CELL_COUNT >= 7.741)
G[0,1](n_evts <= 0.575 -> LOS >= 4.209)
G[0,1](HEMOGLOBIN >= 11.013 -> s24_hr >= -0.001)
G[0,1](n_evts <= 0.742 -> LOS >= 3.900)
G[0,1](AST_GOT <= 73.313 | edrk <= 29.848)
G[0,1](n_evts <= 0.881 -> LOS >= 2.920)
G[1,1](MET >= 0.005 -> srr >= 0.010)
G[0,0](n_evts <= 0.894 -> LOS >= 5.684)
G[1,1](Glasgow_Coma_Scale_Total <= 14.967 | MET <= 0.685)
G[0,1](hr <= 110.307 | SODIUM <= 139.508)
G[1,1](MET >= 0.005 -> n_edrk <= 0.963)
G[0,0](n_evts <= 0.727 -> LOS >= 3.193)
G[0,1](n_evts <= 0.767 -> LOS >= 5.931)
F[0,0](death <= 0.591 -> n_edrk <= 0.967)
G[0,1](PARTIAL_THROMBOPLASTIN_TIME >= 33.376 | PROTIME_INR >= 1.110)
G[1,1](CREATININE <= 1.194 & TOTAL_BILIRUBIN <= 1.385)
G[0,1](hr >= 90.717 & Pulse >= 75.141)
G[1,1](n_edrk >= 0.813 -> srr >= 0.012)
G[0,0](hr >= 89.813 & Pulse >= 88.562)
