((lds >= 0.312) U[1,1] (LOS >= 0.547))
((ICU_Pt_Days >= 0.148) U[0,1] (n_evts >= 0.025))
F[0,1](CHLORIDE <= 103.576 & LOS >= 0.842)
F[0,0](GLUCOSE >= 95.346 & LOS >= 1.004)
((HEMOGLOBIN <= 13.221) U[0,1] (ICU_Pt_Days >= 0.170))
G[0,1](AF <= 0.057 -> n_evts <= 0.582)
((BLOOD_UREA_NITROGEN >= 14.236) U[0,1] (tte <= -0.004))
((lds <= 1.965) U[1,1] (n_evts >= 0.145))
F[0,1](CALCIUM <= 9.373 & n_edrk <= 0.922)
G[0,1](ICU_Pt_Days <= 2.930 & Pulse <= 112.705)
G[1,1](tte <= -0.082 -> y = 0.845)
G[0,0](n_edrk >= 0.018 -> n_evts <= 0.380)
((lds >= 0.800) U[0,1] (y >= 0.025))
((hr >= 69.369) U[0,1] (y >= 0.044))
((Pulse <= 106.918) U[0,1] (y >= 0.037))
((LOS >= 0.525) U[0,1] (y >= 0.068))
G[0,0](BLOOD_UREA_NITROGEN <= 18.577 | LOS <= 3.531)
((cosen <= -2.256) U[0,1] (tte <= -0.136))
((BLOOD_UREA_NITROGEN <= 19.323) U[0,1] (direct >= 0.059))
F[0,1](Mort <= 0.415 -> y = 0.949)
((GLUCOSE >= 102.269) U[0,1] (Mort >= 0.060))
((ICU_Pt_Days >= 0.494) U[0,1] (Mort >= 0.013))
((Glasgow_Coma_Scale_Total >= 14.320) U[0,0] (y >= 0.019))
((AF >= 0.005) U[0,1] (direct >= 0.020))
G[0,1](MAGNESIUM >= 1.880 -> Mort <= 0.974)
((AF >= 0.001) U[0,1] (O2_Flow >= 2.073))
G[1,1](LOS <= 5.059 & O2_Flow <= 4.474)
((LOS <= 11.932) U[1,1] (Mort >= 0.064))
((O2_Flow >= 2.012) U[1,1] (srr >= 0.046))
G[0,0](n_edrk >= 0.559 | PHOSPHORUS >= 4.024)
((O2_Flow >= 2.155) U[1,1] (POTASSIUM <= 4.765))
G[0,1](death >= 0.022 -> y = 0.645)
((LOS <= 4.622) U[1,1] (tte <= -0.102))
F[0,1](Pulse <= 102.006 -> y = 0.069)
((BLOOD_UREA_NITROGEN >= 11.751) U[0,1] (n_edrk <= 0.947))
F[0,1](cosen <= -2.262 & LOS >= 0.057)
((LOS >= 0.062) U[1,2] (SODIUM <= 140.114))
G[0,1](MAGNESIUM <= 1.927 | Pulse <= 101.039)
G[0,1](dfa >= 0.651 | s8_edrk >= -0.001)
((BLOOD_UREA_NITROGEN <= 18.296) U[0,0] (death >= 0.023))
((Glasgow_Coma_Scale_Total <= 14.976) U[1,2] (s2_edrk >= -0.008))
((Pulse >= 71.667) U[1,1] (s2_edrk >= -0.005))
((CO2 >= 28.709) U[0,0] (death >= 0.040))
((dfa <= 0.943) U[0,0] (Glasgow_Coma_Scale_Total <= 14.971))
((Glasgow_Coma_Scale_Total <= 14.971) U[1,1] (LOS >= 0.662))
G[1,1](hr <= 89.416 & s24_edrk <= 0.002)
((direct >= 0.006) U[1,2] (ICU_Pt_Days <= 1.015))
F[1,1](af >= 0.005 & LOS >= 0.046)
G[0,0](PLATELET_COUNT >= 154.380 -> SBP <= 133.316)
F[0,0](AF >= 0.006 & hr <= 119.115)
F[0,0](death <= 0.169 & Mort >= 0.019)
G[0,0](direct <= 0.736 | n_edrk >= 0.055)
F[1,1](Glasgow_Coma_Scale_Total <= 14.968 & O2_Flow <= 5.915)
((HEMOGLOBIN >= 11.781) U[1,1] (LOS >= 0.408))
F[0,1](BLOOD_UREA_NITROGEN <= 16.164 & CREATININE >= 0.776)
F[0,1](BLOOD_UREA_NITROGEN <= 15.718 & CREATININE >= 0.732)
((MET >= 0.002) U[0,0] (death = 0.047))
((n_edrk < 0.940) U[0,1] (y = 0.308))
F[0,1](CREATININE <= 0.897 & ICU_Pt_Days >= 0.318)
((CALCIUM < 9.466) U[1,1] (y = 0.147))
((CHLORIDE > 103.181) U[0,1] (y = 0.634))
((s2_hr >= -0.001) U[1,1] (y = 0.641))
((MET >= 0.017) U[0,1] (death = 0.047))
((af >= 0.003) U[1,1] (y >= 0.060))
((GLUCOSE > 97.473) U[0,1] (y = 0.693))
((MET >= 0.001) U[0,1] (death = 0.047))
((MET >= 0.011) U[0,1] (death = 0.047))
((TROPONIN_I < 0.060) U[0,1] (y = 0.612))
F[1,1](ALBUMIN < 3.200 & y = 0.751)
F[1,1](CHLORIDE >= 103.235 & tte <= -0.094)
F[0,1](TOTAL_PROTEIN <= 6.300 & y = 0.625)
((MET >= 0.007) U[0,1] (death = 0.047))
F[0,0](PLATELET_COUNT < 195.577 & y = 0.336)
((ALT_GPT >= 22.000) U[0,1] (y = 0.458))
((s8_hr < 0.001) U[0,1] (y = 0.180))
F[0,0](af > 0.008 & y = 0.820)
F[0,0](cosen > -2.580 & y = 0.083)
((Resp <= 21.842) U[0,0] (y = 0.560))
((ALKALINE_PHOSPHATASE <= 91.000) U[0,1] (y = 0.264))
F[1,1](SpO2 <= 98.810 -> y = 0.387)
G[0,1](BLOOD_UREA_NITROGEN >= 12.560 -> GLUCOSE >= 102.290)
G[0,0](Resp >= 15.909 | s8_hr >= -0.001)
G[0,0](cosen <= -0.908 | O2_Flow <= 5.197)
G[0,0](n_evts <= 0.949 | WHITE_BLOOD_CELL_COUNT >= 8.119)
G[0,0](edrk >= 13.259 | MET <= 0.963)
G[0,1](Glasgow_Coma_Scale_Total >= 14.014 | Temp <= 36.751)
G[0,1](dfa <= 1.011 | lds >= 0.496)
G[1,1](SODIUM <= 139.785 | y <= 0.485)
G[0,1](CREATININE <= 0.916 -> Resp >= 13.932)
G[1,1](GLUCOSE <= 106.659 -> s8_hr <= 0.001)
G[1,1](CREATININE >= 0.751 | s8_hr >= -0.003)
G[0,1](death >= 0.022 -> tte <= -0.024)
G[0,1](BLOOD_UREA_NITROGEN >= 12.631 | CHLORIDE >= 102.691)
G[0,1](CALCIUM >= 9.038 -> CHLORIDE >= 103.178)
G[0,1](n_evts >= 0.125 | Pulse <= 93.159)
G[0,0](CHLORIDE <= 106.808 & direct <= 0.672)
G[1,1](hr >= 70.826 | s8_hr >= -0.002)
G[0,0](MAGNESIUM >= 1.837 | PLATELET_COUNT >= 158.416)
G[0,1](cosen <= -1.563 | Temp <= 36.778)
((af >= 0.004) U[1,1] (cosen >= -2.597))
G[1,1](Mort >= 0.005 | srr <= 0.210)
G[1,1](af >= 0.001 -> ICU_Pt_Days >= 0.124)
G[1,1](Pulse >= 68.445 -> Resp <= 19.671)
