,Non Rules
0,"((LOS = 0.000) U[0,0] (af = 0.000))"
1,"F[0,0]((LOS = 0.000 -> LOS = 0.000))"
2,"((tte < 0.000) U[0,0] (hr != 0.000))"
3,"((y < 0.000) U[0,0] (death = 0.000))"
4,"((direct > 0.000) U[0,0] (y > 0.000))"
5,"((Mort > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
6,"((direct > 0.000) U[0,0] (direct = 0.000))"
7,"F[0,0]((ICU_Pt_Days = 0.000 -> ICU_Pt_Days = 0.000))"
8,"((y > 0.000) U[0,0] (hr != 0.000))"
9,"((death = 0.000) U[0,0] (hr != 0.000))"
10,"((y = 0.000) U[0,0] (n_evts = 0.000))"
11,"((death > 0.000) U[0,0] (death = 0.000))"
12,"((MET > 0.000) U[0,0] (tte = 0.000))"
13,"((death = 0.000) U[0,0] (death > 0.000))"
14,"((Mort = 0.000) U[0,0] (direct = 0.000))"
15,"((ICU_Pt_Days > 0.000) U[0,0] (hr != 0.000))"
16,"((MET = 0.000) U[0,0] (direct = 0.000))"
17,"((y > 0.000) U[0,0] (n_evts = 0.000))"
18,"((tte = 0.000) U[0,0] (MET = 0.000))"
19,"((ICU_Pt_Days = 0.000) U[0,0] (tte = 0.000))"
20,"((direct > 0.000) U[0,0] (LOS < 0.000))"
21,"((direct = 0.000) U[0,0] (Mort = 0.000))"
