,Non Rules
0,"((ALBUMIN = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
1,"((tte < 0.000) U[0,0] (y < 0.000))"
2,"((Mort < 0.000) U[0,0] (death < 0.000))"
3,"((CALCIUM = 0.000) U[0,0] (Mort = 0.000))"
4,"((tte > 0.000) U[0,0] (tte < 0.000))"
5,"((ICU_Pt_Days = 0.000) U[0,0] (death < 0.000))"
6,"((tte > 0.000) U[0,0] (SpO2 = 0.000))"
7,"F[0,0]((hr < 0.000 -> LOS < 0.000))"
8,"((death > 0.000) U[0,0] (y < 0.000))"
9,"((direct = 0.000) U[0,0] (death < 0.000))"
10,"((MET = 0.000) U[0,0] (death < 0.000))"
11,"((CALCIUM = 0.000) U[0,0] (Mort < 0.000))"
12,"((LOS = 0.000) U[0,0] (y < 0.000))"
13,"((n_evts < 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
14,"((ALBUMIN = 0.000) U[0,0] (y < 0.000))"
15,"((ICU_Pt_Days > 0.000) U[0,0] (O2_Flow < 0.000))"
16,"((n_evts < 0.000) U[0,0] (SpO2 = 0.000))"
17,"((LOS = 0.000) U[0,0] (O2_Flow < 0.000))"
18,"((Pulse = 0.000) U[0,0] (O2_Flow < 0.000))"
19,"((Sgy > 0.000) U[0,0] (MET = 0.000))"
20,"((tte < 0.000) U[0,0] (Mort < 0.000))"
21,"((CHLORIDE = 0.000) U[0,0] (O2_Flow < 0.000))"
22,"((tte = 0.000) U[0,0] (Mort < 0.000))"
23,"((y > 0.000) U[0,0] (tte < 0.000))"
24,"F[0,0]((hr < 0.000 -> LOS = 0.000))"
25,"((death = 0.000) U[0,0] (CHLORIDE < 0.000))"
26,"((Pulse = 0.000) U[0,0] (y < 0.000))"
