,Non Rules
0,"((n_evts > 0.000) U[0,0] (CREATININE = 0.000))"
1,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (CALCIUM = 0.000))"
2,"((O2_Flow = 0.000) U[0,0] (death < 0.000))"
3,"((tte > 0.000) U[0,0] (tte = 0.000))"
4,"((direct = 0.000) U[0,0] (Sgy = 0.000))"
5,"((Resp > 0.000) U[0,0] (death < 0.000))"
6,"((direct > 0.000) U[0,0] (MET > 0.000))"
7,"((ICU_Pt_Days = 0.000) U[0,0] (LOS > 0.000))"
8,"((ICU_Pt_Days = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
9,"((LOS > 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
10,"((SBP = 0.000) U[0,0] (Sgy = 0.000))"
11,"((Mort < 0.000) U[0,0] (SpO2 > 0.000))"
12,"((ICU_Pt_Days > 0.000) U[0,0] (Resp > 0.000))"
13,"((y = 0.000) U[0,0] (y > 0.000))"
14,"((n_evts > 0.000) U[0,0] (SBP > 0.000))"
15,"((n_evts = 0.000) U[0,0] (death > 0.000))"
16,"((SpO2 > 0.000) U[0,0] (SpO2 > 0.000))"
17,"((SBP > 0.000) U[0,0] (lds < 0.000))"
18,"((tte > 0.000) U[0,0] (SpO2 = 0.000))"
19,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Mort < 0.000))"
20,"((Resp = 0.000) U[0,0] (SpO2 = 0.000))"
21,"F[0,0]((n_edrk < 0.000 & direct > 0.000))"
22,"((ALKALINE_PHOSPHATASE = 0.000) U[0,0] (Resp > 0.000))"
23,"((Resp > 0.000) U[0,0] (lds = 0.000))"
24,"((SpO2 > 0.000) U[0,0] (Mort > 0.000))"
25,"((MET > 0.000) U[0,0] (Pulse > 0.000))"
26,"((Temp = 0.000) U[0,0] (SpO2 = 0.000))"
27,"((SBP > 0.000) U[0,0] (CREATININE = 0.000))"
28,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Resp = 0.000))"
29,"((y = 0.000) U[0,0] (SpO2 > 0.000))"
30,"((tte = 0.000) U[0,0] (n_evts < 0.000))"
31,"((n_evts = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
32,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Mort = 0.000))"
33,"((death > 0.000) U[0,0] (MET > 0.000))"
34,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
35,"((SpO2 > 0.000) U[0,0] (n_evts > 0.000))"
36,"((y > 0.000) U[0,0] (tte < 0.000))"
37,"((n_evts = 0.000) U[0,0] (CALCIUM = 0.000))"
38,"((Mort = 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
