,Non Rules
0,"((direct > 0.000) U[0,0] (y = 0.000))"
1,"((MET > 0.000) U[0,0] (n_evts > 0.000))"
2,"((Mort = 0.000) U[0,0] (Temp > 0.000))"
3,"((SBP = 0.000) U[0,0] (n_evts = 0.000))"
4,"((direct = 0.000) U[0,0] (death > 0.000))"
5,"((Sgy > 0.000) U[0,0] (Temp = 0.000))"
6,"((Pulse = 0.000) U[0,0] (Sgy = 0.000))"
7,"((Mort > 0.000) U[0,0] (Mort > 0.000))"
8,"((LOS > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
9,"((Pulse = 0.000) U[0,0] (Temp = 0.000))"
10,"((death > 0.000) U[0,0] (Sgy = 0.000))"
11,"((MET > 0.000) U[0,0] (Mort > 0.000))"
12,"((LOS = 0.000) U[0,0] (O2_Flow > 0.000))"
13,"((Mort < 0.000) U[0,0] (Temp = 0.000))"
14,"((LOS = 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
15,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts > 0.000))"
16,"((LOS > 0.000) U[0,0] (GLUCOSE = 0.000))"
17,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow = 0.000))"
18,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts > 0.000))"
19,"((n_evts = 0.000) U[0,0] (ALKALINE_PHOSPHATASE = 0.000))"
20,"((SBP = 0.000) U[0,0] (n_evts > 0.000))"
21,"((ICU_Pt_Days < 0.000) U[0,0] (death > 0.000))"
22,"((y = 0.000) U[0,0] (n_evts = 0.000))"
23,"((MET = 0.000) U[0,0] (Sgy = 0.000))"
24,"((direct = 0.000) U[0,0] (ALKALINE_PHOSPHATASE = 0.000))"
25,"((direct = 0.000) U[0,0] (tte > 0.000))"
26,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts = 0.000))"
27,"((n_evts = 0.000) U[0,0] (Temp > 0.000))"
28,"((direct = 0.000) U[0,0] (death = 0.000))"
29,"((Pulse = 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))"
30,"((direct > 0.000) U[0,0] (death = 0.000))"
31,"((Mort = 0.000) U[0,0] (O2_Flow = 0.000))"
32,"((Sgy > 0.000) U[0,0] (tte = 0.000))"
33,"((n_evts > 0.000) U[0,0] (n_evts > 0.000))"
34,"((Sgy > 0.000) U[0,0] (Pulse = 0.000))"
35,"((Mort = 0.000) U[0,0] (GLUCOSE = 0.000))"
36,"((Mort = 0.000) U[0,0] (Mort > 0.000))"
37,"((y = 0.000) U[0,0] (death = 0.000))"
38,"((Mort < 0.000) U[0,0] (GLUCOSE = 0.000))"
