,Non Rules
0,"((Mort > 0.000) U[0,0] (MET > 0.000))"
1,"((LOS = 0.000) U[0,0] (tte < 0.000))"
2,"((n_evts = 0.000) U[0,0] (O2_Flow < 0.000))"
3,"((ICU_Pt_Days > 0.000) U[0,0] (tte > 0.000))"
4,"G[0,0]((LOS < 0.000 | SpO2 > 0.000))"
5,"((death = 0.000) U[0,0] (direct = 0.000))"
6,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (n_evts < 0.000))"
7,"((death < 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
8,"((ICU_Pt_Days > 0.000) U[0,0] (MET > 0.000))"
9,"((LOS < 0.000) U[0,0] (LOS > 0.000))"
10,"((tte > 0.000) U[0,0] (MET > 0.000))"
11,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (LOS = 0.000))"
12,"((y > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
13,"((y > 0.000) U[0,0] (tte = 0.000))"
14,"((LOS > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
15,"((death < 0.000) U[0,0] (MET = 0.000))"
16,"F[0,0]((ICU_Pt_Days = 0.000 & tte = 0.000))"
17,"((Sgy > 0.000) U[0,0] (n_evts > 0.000))"
18,"((ICU_Pt_Days = 0.000) U[0,0] (death = 0.000))"
19,"((Mort = 0.000) U[0,0] (Mort < 0.000))"
20,"((ICU_Pt_Days > 0.000) U[0,0] (y = 0.000))"
21,"((tte < 0.000) U[0,0] (n_evts < 0.000))"
22,"G[0,0]((ICU_Pt_Days > 0.000 | ICU_Pt_Days < 0.000))"
