,Non Rules
0,"((O2_Flow = 0.000) U[0,0] (CHLORIDE = 0.000))"
1,"((Sgy > 0.000) U[0,0] (CHLORIDE = 0.000))"
2,"((Pulse = 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
3,"((ICU_Pt_Days > 0.000) U[0,0] (Glasgow_Coma_Scale_Total > 0.000))"
4,"((tte > 0.000) U[0,0] (O2_Flow = 0.000))"
5,"((n_evts = 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
6,"((MET = 0.000) U[0,0] (death > 0.000))"
7,"((CHLORIDE = 0.000) U[0,0] (CALCIUM > 0.000))"
8,"((ICU_Pt_Days > 0.000) U[0,0] (SBP = 0.000))"
9,"((SpO2 = 0.000) U[0,0] (death > 0.000))"
10,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (SBP = 0.000))"
11,"((LOS > 0.000) U[0,0] (MET > 0.000))"
12,"((death = 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
13,"((tte = 0.000) U[0,0] (y = 0.000))"
14,"((ICU_Pt_Days = 0.000) U[0,0] (SBP = 0.000))"
15,"((MET > 0.000) U[0,0] (tte = 0.000))"
16,"((LOS > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
17,"((CHLORIDE = 0.000) U[0,0] (BLOOD_UREA_NITROGEN > 0.000))"
18,"((SpO2 = 0.000) U[0,0] (CALCIUM > 0.000))"
19,"((direct = 0.000) U[0,0] (death > 0.000))"
20,"((GLUCOSE = 0.000) U[0,0] (MET > 0.000))"
21,"((n_evts = 0.000) U[0,0] (BLOOD_UREA_NITROGEN > 0.000))"
22,"((SpO2 = 0.000) U[0,0] (MET = 0.000))"
23,"((Mort = 0.000) U[0,0] (CALCIUM > 0.000))"
24,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (CHLORIDE = 0.000))"
