,Non Rules
0,"((s24_hr > 0.000) U[0,0] (direct < 0.000))"
1,"((Mort > 0.000) U[0,0] (MET > 0.000))"
2,"((O2_Flow = 0.000) U[0,0] (MET = 0.000))"
3,"((Mort > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((n_evts = 0.000) U[0,0] (direct > 0.000))"
5,"((tte < 0.000) U[0,0] (Resp = 0.000))"
6,"((tte > 0.000) U[0,0] (direct = 0.000))"
7,"((tte < 0.000) U[0,0] (y > 0.000))"
8,"((tte < 0.000) U[0,0] (MET > 0.000))"
9,"((LOS > 0.000) U[0,0] (CALCIUM = 0.000))"
10,"((MET > 0.000) U[0,0] (SpO2 < 0.000))"
11,"((MET > 0.000) U[0,0] (Mort > 0.000))"
12,"((n_evts < 0.000) U[0,0] (n_evts > 0.000))"
13,"((O2_Flow = 0.000) U[0,0] (Mort > 0.000))"
14,"((y = 0.000) U[0,0] (MET > 0.000))"
15,"((death > 0.000) U[0,0] (MET > 0.000))"
16,"((direct > 0.000) U[0,0] (n_evts = 0.000))"
17,"((y = 0.000) U[0,0] (death = 0.000))"
18,"((y > 0.000) U[0,0] (MET > 0.000))"
