,Non Rules
0,"((CHLORIDE = 0.000) U[0,0] (O2_Flow = 0.000))"
1,"((ICU_Pt_Days < 0.000) U[0,0] (SBP > 0.000))"
2,"((O2_Flow = 0.000) U[0,0] (tte > 0.000))"
3,"((tte > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
4,"((Temp > 0.000) U[0,0] (Temp = 0.000))"
5,"((tte = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
6,"((O2_Flow = 0.000) U[0,0] (LOS = 0.000))"
7,"((CHLORIDE = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
8,"((ICU_Pt_Days = 0.000) U[0,0] (death < 0.000))"
9,"((direct = 0.000) U[0,0] (Mort < 0.000))"
10,"((tte > 0.000) U[0,0] (LOS > 0.000))"
11,"((Resp > 0.000) U[0,0] (ALBUMIN = 0.000))"
12,"((death > 0.000) U[0,0] (OXYGEN_SATURATION > 0.000))"
13,"((LOS > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
14,"((Temp > 0.000) U[0,0] (Mort < 0.000))"
15,"((direct > 0.000) U[0,0] (direct > 0.000))"
16,"((tte = 0.000) U[0,0] (Resp = 0.000))"
17,"((MET > 0.000) U[0,0] (Sgy > 0.000))"
18,"((n_evts > 0.000) U[0,0] (MET > 0.000))"
19,"((ICU_Pt_Days = 0.000) U[0,0] (Temp = 0.000))"
20,"((tte > 0.000) U[0,0] (ALBUMIN > 0.000))"
21,"((direct > 0.000) U[0,0] (death > 0.000))"
22,"((tte = 0.000) U[0,0] (MET > 0.000))"
23,"((death > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
24,"((CHLORIDE = 0.000) U[0,0] (ALBUMIN > 0.000))"
25,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (SpO2 = 0.000))"
26,"((direct > 0.000) U[0,0] (Mort < 0.000))"
27,"((death > 0.000) U[0,0] (Mort > 0.000))"
28,"((AST_GOT > 0.000) U[0,0] (MET > 0.000))"
29,"((Mort = 0.000) U[0,0] (Resp = 0.000))"
30,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
31,"((tte = 0.000) U[0,0] (y > 0.000))"
32,"((AST_GOT > 0.000) U[0,0] (Mort < 0.000))"
33,"((direct = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
34,"((Resp > 0.000) U[0,0] (Temp = 0.000))"
35,"((tte = 0.000) U[0,0] (MET = 0.000))"
36,"((Resp > 0.000) U[0,0] (MET > 0.000))"
37,"((Resp > 0.000) U[0,0] (tte > 0.000))"
38,"((n_evts > 0.000) U[0,0] (O2_Flow < 0.000))"
39,"((y > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
40,"((Mort = 0.000) U[0,0] (SpO2 = 0.000))"
41,"((ICU_Pt_Days < 0.000) U[0,0] (direct = 0.000))"
42,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow < 0.000))"
