,Non Rules
0,"((n_evts > 0.000) U[0,0] (n_evts = 0.000))"
1,"((LOS > 0.000) U[0,0] (HEMOGLOBIN = 0.000))"
2,"((ICU_Pt_Days > 0.000) U[0,0] (LOS > 0.000))"
3,"((MET > 0.000) U[0,0] (n_evts > 0.000))"
4,"((n_evts = 0.000) U[0,0] (n_evts = 0.000))"
5,"((ICU_Pt_Days != 0.000) U[0,0] (CALCIUM > 0.000))"
6,"((n_evts = 0.000) U[0,0] (AST_GOT > 0.000))"
7,"((direct > 0.000) U[0,0] (Mort = 0.000))"
8,"((n_evts = 0.000) U[0,0] (Pulse = 0.000))"
9,"((MET > 0.000) U[0,0] (Resp = 0.000))"
10,"((MET = 0.000) U[0,0] (n_evts = 0.000))"
11,"((ICU_Pt_Days > 0.000) U[0,0] (Sgy = 0.000))"
12,"((tte > 0.000) U[0,0] (Pulse > 0.000))"
13,"F[0,0]((death = 0.000 & LOS > 0.000))"
14,"((death = 0.000) U[0,0] (Mort > 0.000))"
15,"((Mort = 0.000) U[0,0] (direct = 0.000))"
16,"((MET = 0.000) U[0,0] (Pulse > 0.000))"
17,"((n_evts > 0.000) U[0,0] (Sgy = 0.000))"
18,"((death > 0.000) U[0,0] (death > 0.000))"
19,"((LOS > 0.000) U[0,0] (AST_GOT > 0.000))"
20,"((MET > 0.000) U[0,0] (ALKALINE_PHOSPHATASE = 0.000))"
