,Non Rules
0,"((s8_edrk = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
1,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (y = 0.000))"
2,"((direct > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
3,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (tte < 0.000))"
4,"((Sgy = 0.000) U[0,0] (death > 0.000))"
5,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
6,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Sgy > 0.000))"
7,"((tte > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
8,"((hr < 0.000) U[0,0] (death > 0.000))"
9,"((death < 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
10,"((s8_edrk = 0.000) U[0,0] (LOS = 0.000))"
11,"((n_evts > 0.000) U[0,0] (y > 0.000))"
12,"((ICU_Pt_Days = 0.000) U[0,0] (death = 0.000))"
13,"((O2_Flow < 0.000) U[0,0] (n_evts = 0.000))"
14,"((death > 0.000) U[0,0] (death > 0.000))"
15,"((O2_Flow = 0.000) U[0,0] (death > 0.000))"
