,Non Rules
0,"((death > 0.000) U[0,0] (SBP = 0.000))"
1,"((Resp = 0.000) U[0,0] (Pulse = 0.000))"
2,"((SBP > 0.000) U[0,0] (death > 0.000))"
3,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Resp > 0.000))"
4,"((MET > 0.000) U[0,0] (n_evts > 0.000))"
5,"((SBP = 0.000) U[0,0] (tte < 0.000))"
6,"((Mort > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
7,"((y < 0.000) U[0,0] (death = 0.000))"
8,"((MET = 0.000) U[0,0] (tte > 0.000))"
9,"((O2_Flow = 0.000) U[0,0] (direct = 0.000))"
10,"((n_evts < 0.000) U[0,0] (Mort < 0.000))"
11,"((Mort > 0.000) U[0,0] (O2_Flow = 0.000))"
12,"((ICU_Pt_Days > 0.000) U[0,0] (MET > 0.000))"
13,"((death < 0.000) U[0,0] (Mort > 0.000))"
14,"((Mort < 0.000) U[0,0] (tte < 0.000))"
15,"((n_evts < 0.000) U[0,0] (tte = 0.000))"
16,"((Pulse > 0.000) U[0,0] (n_evts > 0.000))"
17,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts = 0.000))"
18,"((direct > 0.000) U[0,0] (death = 0.000))"
19,"((direct > 0.000) U[0,0] (n_evts = 0.000))"
20,"((LOS > 0.000) U[0,0] (death < 0.000))"
21,"((Mort < 0.000) U[0,0] (n_evts < 0.000))"
22,"((MET > 0.000) U[0,0] (s24_edrk < 0.000))"
23,"F[0,0]((n_edrk < 0.000 & n_evts > 0.000))"
24,"((n_evts = 0.000) U[0,0] (y > 0.000))"
