,Non Rules
0,"((direct > 0.000) U[0,0] (n_evts > 0.000))"
1,"((n_evts < 0.000) U[0,0] (Sgy > 0.000))"
2,"((Glasgow_Coma_Scale_Total > 0.000) U[0,0] (Sgy > 0.000))"
3,"((n_evts > 0.000) U[0,0] (MET = 0.000))"
4,"((Resp = 0.000) U[0,0] (tte = 0.000))"
5,"((tte = 0.000) U[0,0] (LOS > 0.000))"
6,"((death < 0.000) U[0,0] (direct = 0.000))"
7,"((n_evts > 0.000) U[0,0] (SpO2 > 0.000))"
8,"((n_evts < 0.000) U[0,0] (SpO2 = 0.000))"
9,"((LOS > 0.000) U[0,0] (SpO2 = 0.000))"
10,"((direct > 0.000) U[0,0] (Temp = 0.000))"
11,"((death < 0.000) U[0,0] (Mort > 0.000))"
12,"((Glasgow_Coma_Scale_Total > 0.000) U[0,0] (n_evts > 0.000))"
13,"((tte = 0.000) U[0,0] (Temp = 0.000))"
14,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (death = 0.000))"
15,"((y = 0.000) U[0,0] (Mort > 0.000))"
16,"((y = 0.000) U[0,0] (MET > 0.000))"
17,"((death > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
18,"((CHLORIDE = 0.000) U[0,0] (direct = 0.000))"
19,"((death > 0.000) U[0,0] (death = 0.000))"
20,"((SpO2 > 0.000) U[0,0] (MET > 0.000))"
21,"((death < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
22,"((ALBUMIN = 0.000) U[0,0] (SpO2 > 0.000))"
23,"((death > 0.000) U[0,0] (Resp > 0.000))"
24,"((CALCIUM = 0.000) U[0,0] (SpO2 > 0.000))"
25,"((ALBUMIN = 0.000) U[0,0] (MET = 0.000))"
26,"((y = 0.000) U[0,0] (y > 0.000))"
27,"((tte = 0.000) U[0,0] (y > 0.000))"
28,"((tte < 0.000) U[0,0] (Resp > 0.000))"
29,"((n_evts > 0.000) U[0,0] (y > 0.000))"
30,"((Mort = 0.000) U[0,0] (Resp > 0.000))"
31,"((ICU_Pt_Days = 0.000) U[0,0] (death = 0.000))"
32,"((Mort = 0.000) U[0,0] (LOS > 0.000))"
33,"((ICU_Pt_Days = 0.000) U[0,0] (MET = 0.000))"
34,"((Temp = 0.000) U[0,0] (n_evts = 0.000))"
35,"((n_evts = 0.000) U[0,0] (death = 0.000))"
36,"((y = 0.000) U[0,0] (death = 0.000))"
37,"((direct > 0.000) U[0,0] (SpO2 > 0.000))"
38,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (y > 0.000))"
39,"((Resp = 0.000) U[0,0] (direct > 0.000))"
