,Non Rules
0,"((Sgy = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
1,"((tte = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
2,"((Sgy = 0.000) U[0,0] (Mort = 0.000))"
3,"((n_evts < 0.000) U[0,0] (death = 0.000))"
4,"((SBP = 0.000) U[0,0] (CALCIUM = 0.000))"
5,"((tte = 0.000) U[0,0] (direct > 0.000))"
6,"((PLATELET_COUNT = 0.000) U[0,0] (CREATININE = 0.000))"
7,"((death = 0.000) U[0,0] (direct = 0.000))"
8,"((death > 0.000) U[0,0] (ALT_GPT = 0.000))"
9,"((n_evts < 0.000) U[0,0] (direct > 0.000))"
10,"((PLATELET_COUNT = 0.000) U[0,0] (tte < 0.000))"
11,"((tte < 0.000) U[0,0] (Resp = 0.000))"
12,"((Mort > 0.000) U[0,0] (Resp = 0.000))"
13,"((MET = 0.000) U[0,0] (O2_Flow = 0.000))"
14,"((n_evts = 0.000) U[0,0] (G[0,0](hr != 0.000)))"
15,"((y > 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
16,"((LOS > 0.000) U[0,0] (CALCIUM = 0.000))"
17,"((direct > 0.000) U[0,0] (direct > 0.000))"
18,"((tte = 0.000) U[0,0] (Resp = 0.000))"
19,"((Mort > 0.000) U[0,0] (BLOOD_UREA_NITROGEN = 0.000))"
20,"((death = 0.000) U[0,0] (Resp = 0.000))"
21,"((n_evts = 0.000) U[0,0] (ALT_GPT = 0.000))"
22,"((Mort > 0.000) U[0,0] (Resp > 0.000))"
23,"((n_evts > 0.000) U[0,0] (Pulse = 0.000))"
24,"((ICU_Pt_Days = 0.000) U[0,0] (tte < 0.000))"
25,"((tte = 0.000) U[0,0] (Pulse = 0.000))"
26,"((n_evts < 0.000) U[0,0] (Temp > 0.000))"
27,"((tte > 0.000) U[0,0] (SpO2 > 0.000))"
28,"((death < 0.000) U[0,0] (G[0,0](hr != 0.000)))"
29,"((MET > 0.000) U[0,0] (LOS > 0.000))"
30,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
31,"((Resp > 0.000) U[0,0] (n_evts < 0.000))"
32,"((Mort = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
33,"((PLATELET_COUNT = 0.000) U[0,0] (ALT_GPT = 0.000))"
34,"((direct > 0.000) U[0,0] (ALT_GPT = 0.000))"
35,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
36,"((Mort > 0.000) U[0,0] (y > 0.000))"
37,"((n_evts < 0.000) U[0,0] (tte > 0.000))"
38,"((Mort = 0.000) U[0,0] (Resp > 0.000))"
39,"((ICU_Pt_Days = 0.000) U[0,0] (death = 0.000))"
40,"((y > 0.000) U[0,0] (y > 0.000))"
41,"((Mort > 0.000) U[0,0] (LOS > 0.000))"
42,"((n_evts = 0.000) U[0,0] (death = 0.000))"
43,"((y = 0.000) U[0,0] (death = 0.000))"
44,"((MET > 0.000) U[0,0] (SpO2 > 0.000))"
45,"((Resp > 0.000) U[0,0] (G[0,0](hr != 0.000)))"
46,"((direct > 0.000) U[0,0] (s24_hr < 0.000))"
