,Missed Client Rules
0,"((AF <= 0.000) U[0,0] (y >= 0.000))"
1,"((AF >= 0.000) U[0,0] (Pulse <= 0.000))"
2,"((AF >= 0.000) U[0,0] (n_evts >= 0.000))"
3,"((AF >= 0.000) U[0,0] (s24_hr <= 0.000))"
4,"((ALBUMIN >= 0.000) U[0,0] (hr >= 0.000))"
5,"((ALBUMIN >= 0.000) U[0,0] (y = 0.000))"
6,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (y = 0.000))"
7,"((ALKALINE_PHOSPHATASE >= 0.000) U[0,0] (y = 0.000))"
8,"((AST_GOT > 0.000) U[0,0] (y = 0.000))"
9,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
10,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (death >= 0.000))"
11,"((BLOOD_UREA_NITROGEN <= 0.000) U[0,0] (n_evts >= 0.000))"
12,"((BLOOD_UREA_NITROGEN >= 0.000) U[0,0] (MET >= 0.000))"
13,"((BLOOD_UREA_NITROGEN >= 0.000) U[0,0] (direct >= 0.000))"
14,"((BLOOD_UREA_NITROGEN >= 0.000) U[0,0] (s8_hr <= 0.000))"
15,"((CALCIUM <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
16,"((CALCIUM <= 0.000) U[0,0] (s2_hr <= 0.000))"
17,"((CALCIUM >= 0.000) U[0,0] (MET >= 0.000))"
18,"((CALCIUM >= 0.000) U[0,0] (n_edrk <= 0.000))"
19,"((CALCIUM >= 0.000) U[0,0] (y >= 0.000))"
20,"((CHLORIDE < 0.000) U[0,0] (y = 0.000))"
21,"((CHLORIDE <= 0.000) U[0,0] (HEMOGLOBIN >= 0.000))"
22,"((CHLORIDE <= 0.000) U[0,0] (n_evts >= 0.000))"
23,"((CHLORIDE >= 0.000) U[0,0] (n_edrk <= 0.000))"
24,"((CHLORIDE >= 0.000) U[0,0] (n_evts >= 0.000))"
25,"((CO2 <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
26,"((CO2 <= 0.000) U[0,0] (n_evts >= 0.000))"
