,Non Rules
0,"((O2_Flow = 0.000) U[0,0] (Pulse = 0.000))"
1,"((LOS > 0.000) U[0,0] (OXYGEN_SATURATION = 0.000))"
2,"((ICU_Pt_Days = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
3,"((death = 0.000) U[0,0] (O2_Flow = 0.000))"
4,"((O2_Flow = 0.000) U[0,0] (Temp = 0.000))"
5,"((O2_Flow = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
6,"((O2_Flow > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
7,"((direct > 0.000) U[0,0] (n_evts > 0.000))"
8,"((tte = 0.000) U[0,0] (Resp > 0.000))"
9,"((Glasgow_Coma_Scale_Total > 0.000) U[0,0] (ALBUMIN = 0.000))"
10,"((O2_Flow = 0.000) U[0,0] (O2_Flow = 0.000))"
11,"((Mort > 0.000) U[0,0] (Resp = 0.000))"
12,"((O2_Flow > 0.000) U[0,0] (Mort = 0.000))"
13,"((O2_Flow = 0.000) U[0,0] (n_evts > 0.000))"
14,"((tte = 0.000) U[0,0] (n_evts < 0.000))"
15,"((n_evts > 0.000) U[0,0] (SpO2 > 0.000))"
16,"((SBP > 0.000) U[0,0] (O2_Flow > 0.000))"
17,"((O2_Flow > 0.000) U[0,0] (SpO2 > 0.000))"
18,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts = 0.000))"
19,"((direct = 0.000) U[0,0] (SpO2 > 0.000))"
20,"((MET = 0.000) U[0,0] (n_evts > 0.000))"
21,"((MET = 0.000) U[0,0] (n_evts = 0.000))"
22,"((tte = 0.000) U[0,0] (MET > 0.000))"
23,"((Sgy = 0.000) U[0,0] (O2_Flow = 0.000))"
24,"((death > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
25,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Mort = 0.000))"
26,"((Sgy > 0.000) U[0,0] (Mort = 0.000))"
27,"((ICU_Pt_Days > 0.000) U[0,0] (Resp > 0.000))"
28,"((Glasgow_Coma_Scale_Total > 0.000) U[0,0] (O2_Flow = 0.000))"
29,"((death = 0.000) U[0,0] (death > 0.000))"
30,"((direct > 0.000) U[0,0] (OXYGEN_SATURATION = 0.000))"
31,"((Mort = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
32,"((SpO2 = 0.000) U[0,0] (SpO2 > 0.000))"
33,"((O2_Flow > 0.000) U[0,0] (n_evts > 0.000))"
34,"((LOS > 0.000) U[0,0] (n_evts < 0.000))"
35,"((death > 0.000) U[0,0] (Resp > 0.000))"
36,"((n_evts > 0.000) U[0,0] (n_evts > 0.000))"
37,"((tte = 0.000) U[0,0] (MET = 0.000))"
38,"((ICU_Pt_Days = 0.000) U[0,0] (MET = 0.000))"
39,"((tte = 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
40,"((Sgy = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
41,"((SBP = 0.000) U[0,0] (SBP > 0.000))"
42,"((MET > 0.000) U[0,0] (MET = 0.000))"
