,Non Rules
0,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
1,"((tte = 0.000) U[0,0] (direct > 0.000))"
2,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (CHLORIDE = 0.000))"
3,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Mort < 0.000))"
4,"((Sgy > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
5,"((CALCIUM = 0.000) U[0,0] (Mort < 0.000))"
6,"((y < 0.000) U[0,0] (CHLORIDE = 0.000))"
7,"((LOS = 0.000) U[0,0] (Glasgow_Coma_Scale_Total < 0.000))"
8,"((ICU_Pt_Days = 0.000) U[0,0] (O2_Flow = 0.000))"
9,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts > 0.000))"
10,"((y = 0.000) U[0,0] (Mort > 0.000))"
11,"((HEMOGLOBIN < 0.000) U[0,0] (direct > 0.000))"
12,"((MET = 0.000) U[0,0] (O2_Flow < 0.000))"
13,"((Mort > 0.000) U[0,0] (Resp > 0.000))"
14,"((MET > 0.000) U[0,0] (tte = 0.000))"
15,"((Resp < 0.000) U[0,0] (Resp = 0.000))"
16,"((LOS > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
17,"((Mort = 0.000) U[0,0] (Resp = 0.000))"
18,"((CALCIUM = 0.000) U[0,0] (Resp > 0.000))"
19,"((tte < 0.000) U[0,0] (Resp > 0.000))"
20,"((death > 0.000) U[0,0] (Resp = 0.000))"
21,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
22,"((death > 0.000) U[0,0] (MET = 0.000))"
23,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Pulse = 0.000))"
24,"((Sgy > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
25,"((n_evts = 0.000) U[0,0] (CALCIUM = 0.000))"
26,"((CALCIUM = 0.000) U[0,0] (direct = 0.000))"
27,"((y > 0.000) U[0,0] (death > 0.000))"
