,Non Rules
0,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (LOS > 0.000))"
1,"((O2_Flow < 0.000) U[0,0] (MET = 0.000))"
2,"((CREATININE = 0.000) U[0,0] (Sgy = 0.000))"
3,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (y > 0.000))"
4,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (CALCIUM = 0.000))"
5,"((Temp = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
6,"((O2_Flow < 0.000) U[0,0] (n_evts > 0.000))"
7,"((direct < 0.000) U[0,0] (tte < 0.000))"
8,"((death = 0.000) U[0,0] (Sgy = 0.000))"
9,"((Sgy = 0.000) U[0,0] (LOS > 0.000))"
10,"((ICU_Pt_Days = 0.000) U[0,0] (Sgy = 0.000))"
11,"((HEMOGLOBIN > 0.000) U[0,0] (n_evts = 0.000))"
12,"((Sgy = 0.000) U[0,0] (Mort > 0.000))"
13,"((SpO2 = 0.000) U[0,0] (Mort > 0.000))"
14,"((BLOOD_UREA_NITROGEN > 0.000) U[0,0] (LOS > 0.000))"
15,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts > 0.000))"
16,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (Sgy = 0.000))"
17,"((direct > 0.000) U[0,0] (Resp > 0.000))"
18,"((LOS = 0.000) U[0,0] (Mort < 0.000))"
19,"((ICU_Pt_Days < 0.000) U[0,0] (tte < 0.000))"
20,"((Mort = 0.000) U[0,0] (CALCIUM = 0.000))"
21,"((direct = 0.000) U[0,0] (direct = 0.000))"
22,"((death = 0.000) U[0,0] (CALCIUM = 0.000))"
23,"((O2_Flow < 0.000) U[0,0] (O2_Flow = 0.000))"
24,"((CHLORIDE > 0.000) U[0,0] (CALCIUM = 0.000))"
25,"((y > 0.000) U[0,0] (AST_GOT = 0.000))"
26,"((Glasgow_Coma_Scale_Total < 0.000) U[0,0] (O2_Flow = 0.000))"
27,"((CHLORIDE > 0.000) U[0,0] (Resp > 0.000))"
28,"((death > 0.000) U[0,0] (Mort > 0.000))"
29,"((n_evts > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
30,"((HEMOGLOBIN > 0.000) U[0,0] (O2_Flow = 0.000))"
31,"((direct < 0.000) U[0,0] (LOS > 0.000))"
32,"((CREATININE = 0.000) U[0,0] (y = 0.000))"
33,"((death < 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
34,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (Mort > 0.000))"
35,"((y = 0.000) U[0,0] (y > 0.000))"
36,"((LOS > 0.000) U[0,0] (Mort < 0.000))"
37,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
38,"((Mort > 0.000) U[0,0] (direct > 0.000))"
39,"((n_evts > 0.000) U[0,0] (n_evts > 0.000))"
40,"((SBP > 0.000) U[0,0] (O2_Flow = 0.000))"
41,"((Sgy = 0.000) U[0,0] (n_evts > 0.000))"
42,"((y = 0.000) U[0,0] (AST_GOT = 0.000))"
43,"((death > 0.000) U[0,0] (MET = 0.000))"
44,"((tte < 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
45,"((y > 0.000) U[0,0] (n_evts > 0.000))"
46,"((Pulse = 0.000) U[0,0] (direct = 0.000))"
47,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (Sgy = 0.000))"
48,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (Mort = 0.000))"
49,"((Temp = 0.000) U[0,0] (direct = 0.000))"
50,"((CREATININE = 0.000) U[0,0] (tte < 0.000))"
51,"((MET > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
52,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (direct > 0.000))"
53,"((Resp = 0.000) U[0,0] (Sgy = 0.000))"
54,"((CHLORIDE > 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
55,"((death = 0.000) U[0,0] (y = 0.000))"
56,"((Resp = 0.000) U[0,0] (direct > 0.000))"
