,Non Rules
0,"((MET = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
1,"((CALCIUM = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
2,"((Resp = 0.000) U[0,0] (tte < 0.000))"
3,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (y > 0.000))"
4,"((Resp = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
5,"((HEMOGLOBIN = 0.000) U[0,0] (Mort > 0.000))"
6,"((HEMOGLOBIN = 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
7,"((LOS = 0.000) U[0,0] (O2_Flow = 0.000))"
8,"((direct = 0.000) U[0,0] (MET > 0.000))"
9,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Mort > 0.000))"
10,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Resp < 0.000))"
11,"((LOS > 0.000) U[0,0] (LOS > 0.000))"
12,"((death = 0.000) U[0,0] (direct = 0.000))"
13,"((CO2 = 0.000) U[0,0] (O2_Flow = 0.000))"
14,"((Mort > 0.000) U[0,0] (Mort > 0.000))"
15,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (CALCIUM = 0.000))"
16,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (tte < 0.000))"
17,"((ICU_Pt_Days = 0.000) U[0,0] (death > 0.000))"
18,"((O2_Flow = 0.000) U[0,0] (direct = 0.000))"
19,"((LOS > 0.000) U[0,0] (LOS = 0.000))"
20,"((n_evts > 0.000) U[0,0] (ICU_Pt_Days < 0.000))"
21,"((direct = 0.000) U[0,0] (direct > 0.000))"
22,"((ICU_Pt_Days = 0.000) U[0,0] (MET < 0.000))"
23,"((LOS < 0.000) U[0,0] (y > 0.000))"
24,"((tte > 0.000) U[0,0] (MET > 0.000))"
25,"((CHLORIDE = 0.000) U[0,0] (LOS > 0.000))"
26,"((y = 0.000) U[0,0] (n_evts = 0.000))"
27,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (LOS = 0.000))"
28,"((tte > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
29,"((tte > 0.000) U[0,0] (LOS > 0.000))"
30,"((CALCIUM = 0.000) U[0,0] (death = 0.000))"
31,"((n_evts > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
32,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (Mort > 0.000))"
33,"((LOS < 0.000) U[0,0] (ALT_GPT = 0.000))"
34,"((LOS < 0.000) U[0,0] (LOS < 0.000))"
35,"((ICU_Pt_Days > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
36,"((MET = 0.000) U[0,0] (tte = 0.000))"
37,"((MET > 0.000) U[0,0] (death > 0.000))"
38,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts = 0.000))"
39,"((Sgy = 0.000) U[0,0] (n_evts = 0.000))"
40,"((Sgy = 0.000) U[0,0] (direct > 0.000))"
41,"((y = 0.000) U[0,0] (LOS < 0.000))"
42,"((Mort > 0.000) U[0,0] (direct > 0.000))"
43,"((y = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
44,"((Mort > 0.000) U[0,0] (LOS < 0.000))"
45,"((MET = 0.000) U[0,0] (Resp < 0.000))"
46,"((CO2 = 0.000) U[0,0] (death = 0.000))"
47,"((HEMOGLOBIN = 0.000) U[0,0] (CALCIUM = 0.000))"
48,"((tte > 0.000) U[0,0] (LOS = 0.000))"
49,"((CALCIUM = 0.000) U[0,0] (O2_Flow = 0.000))"
50,"((MET > 0.000) U[0,0] (y = 0.000))"
