,Non Rules
0,"((Resp = 0.000) U[0,0] (Pulse = 0.000))"
1,"((ICU_Pt_Days < 0.000) U[0,0] (MET < 0.000))"
2,"((ICU_Pt_Days > 0.000) U[0,0] (LOS = 0.000))"
3,"((Glasgow_Coma_Scale_Total = 0.000) U[0,0] (Temp = 0.000))"
4,"((n_evts > 0.000) U[0,0] (O2_Flow = 0.000))"
5,"((ICU_Pt_Days < 0.000) U[0,0] (direct > 0.000))"
6,"((ICU_Pt_Days = 0.000) U[0,0] (death < 0.000))"
7,"((Temp = 0.000) U[0,0] (AF = 0.000))"
8,"((LOS = 0.000) U[0,0] (tte < 0.000))"
9,"((ICU_Pt_Days < 0.000) U[0,0] (n_evts = 0.000))"
10,"((MET = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
11,"((MET > 0.000) U[0,0] (SBP = 0.000))"
12,"((ALBUMIN = 0.000) U[0,0] (tte < 0.000))"
13,"((n_evts < 0.000) U[0,0] (SBP = 0.000))"
14,"((ICU_Pt_Days = 0.000) U[0,0] (MET < 0.000))"
15,"((LOS > 0.000) U[0,0] (MET > 0.000))"
16,"((MET = 0.000) U[0,0] (n_evts > 0.000))"
17,"((ALBUMIN = 0.000) U[0,0] (SBP = 0.000))"
18,"((PARTIAL_THROMBOPLASTIN_TIME > 0.000) U[0,0] (Glasgow_Coma_Scale_Total = 0.000))"
19,"((Pulse = 0.000) U[0,0] (n_evts > 0.000))"
20,"((Temp = 0.000) U[0,0] (Mort > 0.000))"
21,"((tte > 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
22,"((death < 0.000) U[0,0] (Mort = 0.000))"
23,"((direct > 0.000) U[0,0] (death < 0.000))"
24,"((death = 0.000) U[0,0] (death < 0.000))"
25,"((SBP > 0.000) U[0,0] (O2_Flow = 0.000))"
26,"((SBP = 0.000) U[0,0] (O2_Flow = 0.000))"
27,"((Resp > 0.000) U[0,0] (LOS = 0.000))"
28,"((death < 0.000) U[0,0] (n_evts > 0.000))"
29,"((SBP = 0.000) U[0,0] (SBP > 0.000))"
30,"((LOS = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
31,"((ICU_Pt_Days > 0.000) U[0,0] (O2_Flow = 0.000))"
