,Non Rules
0,"((LOS = 0.000) U[0,0] (death < 0.000))"
1,"((y != 0.000) U[0,0] (death < 0.000))"
2,"((Resp != 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
3,"((Glasgow_Coma_Scale_Total != 0.000) U[0,0] (tte < 0.000))"
4,"((LOS = 0.000) U[0,0] (tte = 0.000))"
5,"G[0,0](ICU_Pt_Days = 0.000)"
6,"((direct != 0.000) U[0,0] (death = 0.000))"
7,"((ICU_Pt_Days = 0.000) U[0,0] (n_evts > 0.000))"
8,"((n_evts < 0.000) U[0,0] (LOS > 0.000))"
9,"((y != 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
10,"((ICU_Pt_Days = 0.000) U[0,0] (tte < 0.000))"
11,"((death > 0.000) U[0,0] (Mort > 0.000))"
12,"((Glasgow_Coma_Scale_Total != 0.000) U[0,0] (death = 0.000))"
13,"((y = 0.000) U[0,0] (n_evts > 0.000))"
14,"((y > 0.000) U[0,0] (death > 0.000))"
15,"((direct != 0.000) U[0,0] (Mort > 0.000))"
