,Non Rules
0,"((direct > 0.000) U[0,0] (CALCIUM = 0.000))"
1,"((ALKALINE_PHOSPHATASE > 0.000) U[0,0] (n_evts < 0.000))"
2,"((PLATELET_COUNT = 0.000) U[0,0] (CALCIUM > 0.000))"
3,"((CREATININE > 0.000) U[0,0] (tte < 0.000))"
4,"((n_evts = 0.000) U[0,0] (Temp = 0.000))"
5,"((SBP > 0.000) U[0,0] (tte < 0.000))"
6,"((death > 0.000) U[0,0] (death < 0.000))"
7,"((n_evts = 0.000) U[0,0] (MET = 0.000))"
8,"((PHOSPHORUS = 0.000) U[0,0] (Mort > 0.000))"
9,"((GLUCOSE = 0.000) U[0,0] (tte = 0.000))"
10,"((HEMOGLOBIN > 0.000) U[0,0] (PLATELET_COUNT = 0.000))"
11,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (lds = 0.000))"
12,"((CREATININE > 0.000) U[0,0] (AF = 0.000))"
13,"((PHOSPHORUS = 0.000) U[0,0] (CALCIUM > 0.000))"
14,"((death = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
15,"((PLATELET_COUNT = 0.000) U[0,0] (n_evts = 0.000))"
16,"((MET = 0.000) U[0,0] (POTASSIUM = 0.000))"
17,"((MET = 0.000) U[0,0] (hr = 0.000))"
18,"((PLATELET_COUNT = 0.000) U[0,0] (Temp = 0.000))"
19,"((direct = 0.000) U[0,0] (Resp = 0.000))"
20,"((death = 0.000) U[0,0] (lds = 0.000))"
21,"((SBP > 0.000) U[0,0] (LACTIC_ACID = 0.000))"
22,"((y = 0.000) U[0,0] (direct > 0.000))"
23,"((Temp > 0.000) U[0,0] (MET > 0.000))"
24,"((GLUCOSE = 0.000) U[0,0] (s2_edrk = 0.000))"
25,"((TOTAL_BILIRUBIN = 0.000) U[0,0] (lds = 0.000))"
26,"((LOS > 0.000) U[0,0] (AF = 0.000))"
27,"((n_evts = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
28,"((Temp > 0.000) U[0,0] (hr = 0.000))"
29,"((n_evts = 0.000) U[0,0] (ICU_Pt_Days = 0.000))"
30,"((CREATININE = 0.000) U[0,0] (Resp = 0.000))"
31,"((LOS > 0.000) U[0,0] (MET > 0.000))"
32,"((BLOOD_UREA_NITROGEN = 0.000) U[0,0] (AST_GOT > 0.000))"
33,"((O2_Flow > 0.000) U[0,0] (Temp = 0.000))"
34,"((MET = 0.000) U[0,0] (n_evts = 0.000))"
35,"((direct > 0.000) U[0,0] (death < 0.000))"
36,"((ICU_Pt_Days > 0.000) U[0,0] (lds = 0.000))"
37,"((Mort = 0.000) U[0,0] (AF = 0.000))"
38,"((ICU_Pt_Days = 0.000) U[0,0] (ICU_Pt_Days > 0.000))"
39,"((PHOSPHORUS = 0.000) U[0,0] (hr = 0.000))"
40,"((n_evts > 0.000) U[0,0] (y > 0.000))"
41,"((ICU_Pt_Days > 0.000) U[0,0] (Resp = 0.000))"
42,"((HEMOGLOBIN = 0.000) U[0,0] (Mort = 0.000))"
43,"((n_evts = 0.000) U[0,0] (Resp = 0.000))"
44,"((n_evts > 0.000) U[0,0] (Temp = 0.000))"
45,"((n_evts = 0.000) U[0,0] (PLATELET_COUNT = 0.000))"
46,"((SBP = 0.000) U[0,0] (Mort < 0.000))"
47,"((n_evts > 0.000) U[0,0] (PLATELET_COUNT = 0.000))"
48,"((ICU_Pt_Days > 0.000) U[0,0] (n_evts < 0.000))"
49,"((n_evts = 0.000) U[0,0] (CALCIUM = 0.000))"
50,"((ICU_Pt_Days = 0.000) U[0,0] (Mort > 0.000))"
51,"((Temp > 0.000) U[0,0] (PROTIME_INR = 0.000))"
52,"((direct = 0.000) U[0,0] (Mort = 0.000))"
53,"((death = 0.000) U[0,0] (y = 0.000))"
54,"((PHOSPHORUS = 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT = 0.000))"
55,"((TOTAL_BILIRUBIN = 0.000) U[0,0] (PLATELET_COUNT = 0.000))"
