,Initial Rule Trees
0,"G[?,?]((|Temp <= ?WBC <= ?) | Potassium >= ?)"
1,"G[?,?](Fibrinogen >= ? -> Calcium >= ?)"
2,"G[?,?](Phosphate >= ? -> EtCO2 <= ?)"
3,"G[?,?]((->O2Sat <= ?O2Sat <= ?) | WBC <= ?)"
4,"G[?,?](DBP <= ? | SBP <= ?)"
5,"G[?,?]((->O2Sat >= ?SBP >= ?) | (O2Sat >= ? -> O2Sat >= ?))"
6,"G[?,?]((->O2Sat >= ?Temp >= ?) | (Platelets <= ? -> Temp >= ?))"
7,"G[?,?]((|O2Sat >= ?SBP >= ?) | (AST >= ? -> SBP <= ?))"
8,"G[?,?](AST >= ? -> SBP >= ?)"
9,"G[?,?](FiO2 >= ? | (HR <= ? | TroponinI >= ?))"
10,"G[?,?]((|Temp <= ?HR <= ?) | (Temp <= ? -> O2Sat >= ?))"
11,"G[?,?]((->Hgb >= ?HR >= ?) | Bilirubin_total <= ?)"
12,"G[?,?]((->Hgb >= ?HR <= ?) | (HR <= ? -> MAP <= ?))"
13,"G[?,?](Hgb <= ? | O2Sat >= ?)"
14,"G[?,?]((|Temp >= ?Temp <= ?) | (O2Sat >= ? -> Temp <= ?))"
15,"G[?,?]((->HR <= ?MAP <= ?) | Phosphate >= ?)"
16,"G[?,?]((|pH <= ?Temp <= ?) | (O2Sat >= ? | HR <= ?))"
17,"G[?,?](SBP >= ? -> EtCO2 <= ?)"
18,"G[?,?](TroponinI >= ? -> (O2Sat >= ? & HR >= ?))"
19,"F[?,?](Magnesium >= ? & pH >= ?)"
20,"G[?,?]((&SBP <= ?HR <= ?) | (HR >= ? | TroponinI >= ?))"
21,"G[?,?]((|SBP >= ?Temp >= ?) | (HR >= ? -> Temp >= ?))"
22,"G[?,?](Resp >= ? | (HR <= ? -> HR <= ?))"
23,"G[?,?]((|SBP <= ?WBC <= ?) | PTT <= ?)"
24,"G[?,?](Creatinine <= ? & SepsisLabel <= ?)"
25,"G[?,?]((&SBP <= ?O2Sat >= ?) | TroponinI >= ?)"
26,"F[?,?](SBP >= ? & Glucose >= ?)"
27,"G[?,?]((|pH <= ?SBP <= ?) | (SBP <= ? | SBP <= ?))"
28,"G[?,?]((->Lactate <= ?Temp >= ?) | (O2Sat >= ? | TroponinI >= ?))"
29,"G[?,?]((&Temp <= ?O2Sat <= ?) | (Temp >= ? -> Temp <= ?))"
30,"G[?,?](Platelets >= ? | (SBP >= ? -> O2Sat >= ?))"
31,"G[?,?]((|Temp >= ?Temp <= ?) | WBC <= ?)"
32,"G[?,?]((|Temp <= ?O2Sat >= ?) | (HR >= ? -> Temp >= ?))"
33,"G[?,?](TroponinI <= ? | (SBP <= ? -> O2Sat <= ?))"
34,"G[?,?]((->O2Sat <= ?Temp <= ?) | (AST >= ? -> O2Sat <= ?))"
35,"G[?,?]((->Temp >= ?Temp >= ?) | (O2Sat <= ? & O2Sat <= ?))"
36,"G[?,?](Platelets <= ? | EtCO2 >= ?)"
37,"G[?,?](BaseExcess >= ? -> Creatinine <= ?)"
38,"G[?,?]((->O2Sat >= ?SBP >= ?) | Lactate >= ?)"
39,"G[?,?](EtCO2 >= ? | TroponinI <= ?)"
40,"G[?,?]((->Temp >= ?SBP <= ?) | (HR <= ? | Temp <= ?))"
41,"G[?,?]((->Hgb >= ?HR >= ?) | (Lactate <= ? & Temp >= ?))"
42,"G[?,?]((&Temp >= ?HR >= ?) -> Bilirubin_total >= ?)"
43,"G[?,?]((&SBP <= ?Temp <= ?) | (Temp <= ? -> SBP <= ?))"
44,"G[?,?](MAP >= ? & pH <= ?)"
45,"G[?,?](WBC >= ? | Lactate >= ?)"
46,"G[?,?]((->Temp >= ?SBP <= ?) | Phosphate <= ?)"
47,"G[?,?]((|SBP >= ?SBP <= ?) | (Lactate <= ? & Temp >= ?))"
48,"G[?,?](Calcium >= ? -> HR >= ?)"
49,"G[?,?](Glucose >= ? -> BUN >= ?)"
50,"G[?,?](Bilirubin_total >= ? -> WBC >= ?)"
51,"G[?,?](Temp >= ? -> DBP <= ?)"
52,"G[?,?]((|O2Sat >= ?Temp <= ?) | FiO2 <= ?)"
53,"G[?,?]((->Hgb >= ?MAP <= ?) | (SBP <= ? | O2Sat >= ?))"
54,"G[?,?]((&Lactate <= ?O2Sat >= ?) | (HR >= ? | Temp >= ?))"
55,"G[?,?]((->O2Sat >= ?HR >= ?) | Creatinine <= ?)"
56,"G[?,?](Hct >= ? -> Hct >= ?)"
57,"F[?,?](pH <= ? & Hgb >= ?)"
58,"G[?,?]((->O2Sat >= ?HR >= ?) | AST >= ?)"
59,"G[?,?]((|Temp >= ?Temp <= ?) | (Temp <= ? -> HR <= ?))"
60,"G[?,?](DBP >= ? | PaCO2 >= ?)"
61,"G[?,?]((|HR <= ?Temp >= ?) | (SBP <= ? -> MAP <= ?))"
62,"G[?,?]((->HR <= ?O2Sat <= ?) | (SBP >= ? -> Temp <= ?))"
63,"G[?,?]((|SBP <= ?SBP <= ?) | (HR <= ? | HR >= ?))"
64,"G[?,?]((->SBP <= ?MAP <= ?) | Resp >= ?)"
65,"F[?,?](PaCO2 >= ? & Creatinine >= ?)"
66,"G[?,?]((|O2Sat >= ?HR >= ?) | (AST >= ? -> Temp >= ?))"
67,"G[?,?](pH <= ? | TroponinI >= ?)"
68,"G[?,?](AST <= ? -> SBP <= ?)"
69,"(Creatinine >= ?) U[?,?] (Lactate >= ?)"
70,"G[?,?](AST <= ? | Magnesium <= ?)"
71,"G[?,?]((->Hgb >= ?Temp >= ?) | PaCO2 <= ?)"
72,"G[?,?]((&O2Sat <= ?Temp >= ?) -> O2Sat >= ?)"
73,"G[?,?](MAP <= ? | (SBP <= ? | Temp <= ?))"
74,"G[?,?](pH <= ? | (O2Sat >= ? | O2Sat >= ?))"
75,"G[?,?]((|O2Sat >= ?SBP <= ?) | (HR <= ? | HR <= ?))"
76,"G[?,?](HR <= ? | Hgb >= ?)"
77,"G[?,?]((|Temp <= ?SBP >= ?) | (O2Sat <= ? & Temp >= ?))"
78,"G[?,?](Hgb >= ? | SepsisLabel <= ?)"
79,"G[?,?](pH <= ? | BUN <= ?)"
80,"G[?,?]((->HR <= ?SBP >= ?) | (Temp <= ? & O2Sat <= ?))"
81,"G[?,?]((|Temp >= ?HR >= ?) | Phosphate <= ?)"
82,"G[?,?]((&Lactate <= ?Temp <= ?) | (O2Sat >= ? -> Temp <= ?))"
83,"G[?,?]((->O2Sat >= ?SBP <= ?) | (Platelets <= ? -> MAP <= ?))"
84,"G[?,?]((|SBP <= ?HR <= ?) | (AST >= ? -> Temp >= ?))"
85,"(MAP >= ?) U[?,?] (PaCO2 >= ?)"
86,"G[?,?](PTT >= ? -> Lactate >= ?)"
87,"G[?,?](DBP <= ? -> (Temp >= ? & O2Sat <= ?))"
88,"G[?,?](MAP >= ? | TroponinI >= ?)"
89,"G[?,?](Resp <= ? -> (Temp >= ? & HR >= ?))"
90,"G[?,?]((->Lactate <= ?O2Sat <= ?) | Magnesium <= ?)"
91,"G[?,?]((->Temp >= ?Temp <= ?) | Chloride >= ?)"
92,"G[?,?](TroponinI >= ? | (SBP <= ? -> MAP <= ?))"
93,"G[?,?]((->O2Sat >= ?Temp <= ?) | (HR <= ? -> Temp <= ?))"
94,"G[?,?]((|SBP <= ?O2Sat >= ?) | (O2Sat <= ? -> Temp >= ?))"
95,"G[?,?]((|SBP <= ?O2Sat >= ?) | (HR <= ? -> O2Sat >= ?))"
96,"G[?,?](Bilirubin_total >= ? | (AST >= ? -> SBP <= ?))"
97,"G[?,?]((->O2Sat <= ?Temp >= ?) | Calcium >= ?)"
98,"G[?,?]((->HR <= ?SBP >= ?) | (Temp <= ? -> O2Sat >= ?))"
99,"G[?,?](PTT >= ? | TroponinI >= ?)"
100,"G[?,?]((&O2Sat >= ?Temp <= ?) | (AST >= ? -> MAP <= ?))"
101,"G[?,?](TroponinI <= ? | Phosphate <= ?)"
102,"F[?,?](HCO3 <= ? & Glucose >= ?)"
103,"G[?,?]((|Temp <= ?SBP <= ?) | FiO2 >= ?)"
104,"G[?,?]((|pH <= ?HR <= ?) | (AST >= ? -> O2Sat <= ?))"
105,"G[?,?](PTT >= ? | Calcium >= ?)"
106,"G[?,?](DBP <= ? | (SBP <= ? | Temp <= ?))"
107,"G[?,?]((&O2Sat <= ?HR >= ?) -> (O2Sat <= ? & Temp >= ?))"
108,"G[?,?](Hct >= ? | (O2Sat <= ? -> Temp >= ?))"
109,"G[?,?](PaCO2 <= ? -> Platelets <= ?)"
110,"G[?,?]((|SBP <= ?HR <= ?) | (SBP >= ? -> SBP <= ?))"
111,"G[?,?](O2Sat >= ? | (Temp >= ? -> Temp <= ?))"
112,"G[?,?]((|HR <= ?WBC <= ?) | (SBP >= ? -> O2Sat >= ?))"
113,"G[?,?]((|HR <= ?MAP >= ?) | Resp >= ?)"
114,"G[?,?]((&O2Sat >= ?O2Sat >= ?) | (O2Sat >= ? & Temp >= ?))"
115,"G[?,?]((&O2Sat >= ?HR <= ?) | Chloride <= ?)"
116,"G[?,?](Resp >= ? | (MAP <= ? | TroponinI >= ?))"
117,"(Resp >= ?) U[?,?] (BaseExcess >= ?)"
118,"G[?,?]((|Temp >= ?HR <= ?) | (Platelets <= ? -> SBP >= ?))"
119,"G[?,?]((|Temp <= ?WBC <= ?) | (SBP <= ? | O2Sat >= ?))"
120,"G[?,?](BUN <= ? & AST <= ?)"
121,"G[?,?]((|Temp >= ?SBP <= ?) | (HR >= ? -> MAP <= ?))"
122,"G[?,?](TroponinI <= ? | SepsisLabel >= ?)"
123,"G[?,?]((&SBP <= ?Temp <= ?) | (O2Sat <= ? -> Temp >= ?))"
124,"G[?,?](Fibrinogen <= ? -> Bilirubin_direct >= ?)"
125,"G[?,?](Lactate <= ? -> Potassium >= ?)"
126,"G[?,?](O2Sat <= ? | (HR >= ? -> O2Sat >= ?))"
127,"G[?,?](HR >= ? | (SBP >= ? -> HR <= ?))"
128,"G[?,?](Fibrinogen >= ? | (O2Sat >= ? -> HR <= ?))"
129,"G[?,?](Hct <= ? | WBC <= ?)"
130,"G[?,?](Glucose <= ? -> DBP <= ?)"
131,"G[?,?]((&SBP <= ?O2Sat >= ?) | Chloride <= ?)"
132,"G[?,?]((&Temp <= ?Temp <= ?) | (MAP <= ? | HR >= ?))"
133,"G[?,?](O2Sat >= ? -> Temp <= ?)"
134,"G[?,?]((|HR <= ?HR >= ?) | (SBP >= ? -> Temp >= ?))"
135,"G[?,?]((|O2Sat >= ?SBP >= ?) | Hgb <= ?)"
136,"G[?,?](Bilirubin_direct <= ? | MAP <= ?)"
137,"F[?,?](HR <= ? & Hct >= ?)"
138,"G[?,?]((->O2Sat <= ?HR <= ?) | (HR <= ? | Temp >= ?))"
139,"G[?,?]((->O2Sat >= ?O2Sat <= ?) | (MAP <= ? | SBP <= ?))"
140,"G[?,?]((&SBP <= ?Temp <= ?) | Chloride >= ?)"
141,"G[?,?](DBP <= ? | (HR <= ? -> SBP >= ?))"
142,"G[?,?]((->O2Sat <= ?HR <= ?) | (O2Sat >= ? & O2Sat <= ?))"
143,"G[?,?](SaO2 <= ? | Hgb <= ?)"
144,"G[?,?]((|pH <= ?Temp <= ?) | (Temp <= ? & O2Sat <= ?))"
