,Missed Client Rules
0,"((AST <= 0.000) U[0,0] (Calcium >= 0.000))"
1,"((AST >= 0.000) U[0,0] (PaCO2 >= 0.000))"
2,"((AST >= 0.000) U[0,0] (Platelets <= 0.000))"
3,"((Alkalinephos >= 0.000) U[0,0] (BUN >= 0.000))"
4,"((BUN <= 0.000) U[0,0] (Magnesium >= 0.000))"
5,"((BUN <= 0.000) U[0,0] (Phosphate >= 0.000))"
6,"((BUN >= 0.000) U[0,0] (Chloride >= 0.000))"
7,"((BUN >= 0.000) U[0,0] (FiO2 <= 0.000))"
8,"((BUN >= 0.000) U[0,0] (HR <= 0.000))"
9,"((BUN >= 0.000) U[0,0] (Hgb <= 0.000))"
10,"((BUN >= 0.000) U[0,0] (PTT >= 0.000))"
11,"((BUN >= 0.000) U[0,0] (Phosphate >= 0.000))"
12,"((BaseExcess <= 0.000) U[0,0] (SaO2 >= 0.000))"
13,"((BaseExcess >= 0.000) U[0,0] (Chloride >= 0.000))"
14,"((BaseExcess >= 0.000) U[0,0] (Magnesium <= 0.000))"
15,"((Bilirubin_total <= 0.000) U[0,0] (Glucose >= 0.000))"
16,"((Bilirubin_total <= 0.000) U[0,0] (HCO3 >= 0.000))"
17,"((Bilirubin_total <= 0.000) U[0,0] (O2Sat <= 0.000))"
18,"((Bilirubin_total <= 0.000) U[0,0] (WBC >= 0.000))"
19,"((Bilirubin_total >= 0.000) U[0,0] (Creatinine >= 0.000))"
20,"((Bilirubin_total >= 0.000) U[0,0] (Lactate >= 0.000))"
21,"((Calcium <= 0.000) U[0,0] (Creatinine >= 0.000))"
22,"((Calcium >= 0.000) U[0,0] (FiO2 >= 0.000))"
23,"((Calcium >= 0.000) U[0,0] (Glucose <= 0.000))"
24,"((Calcium >= 0.000) U[0,0] (Phosphate >= 0.000))"
25,"((Calcium >= 0.000) U[0,0] (Platelets >= 0.000))"
26,"((Chloride <= 0.000) U[0,0] (Creatinine >= 0.000))"
27,"((Chloride <= 0.000) U[0,0] (PTT >= 0.000))"
28,"((Chloride >= 0.000) U[0,0] (Creatinine >= 0.000))"
29,"((Chloride >= 0.000) U[0,0] (HCO3 <= 0.000))"
30,"((Chloride >= 0.000) U[0,0] (Lactate >= 0.000))"
31,"((Chloride >= 0.000) U[0,0] (PTT >= 0.000))"
32,"((Chloride >= 0.000) U[0,0] (PaCO2 >= 0.000))"
33,"((Chloride >= 0.000) U[0,0] (Platelets <= 0.000))"
34,"((Chloride >= 0.000) U[0,0] (Potassium >= 0.000))"
35,"((Chloride >= 0.000) U[0,0] (WBC <= 0.000))"
36,"((Creatinine <= 0.000) U[0,0] (Hct >= 0.000))"
37,"((Creatinine <= 0.000) U[0,0] (O2Sat <= 0.000))"
38,"((Creatinine >= 0.000) U[0,0] (HCO3 >= 0.000))"
39,"((Creatinine >= 0.000) U[0,0] (Hgb <= 0.000))"
40,"((Creatinine >= 0.000) U[0,0] (PaCO2 >= 0.000))"
41,"((Creatinine >= 0.000) U[0,0] (WBC >= 0.000))"
42,"((DBP <= 0.000) U[0,0] (Platelets >= 0.000))"
43,"((FiO2 <= 0.000) U[0,0] (Creatinine >= 0.000))"
44,"((FiO2 <= 0.000) U[0,0] (Hct >= 0.000))"
45,"((FiO2 <= 0.000) U[0,0] (pH >= 0.000))"
46,"((FiO2 >= 0.000) U[0,0] (HCO3 >= 0.000))"
47,"((FiO2 >= 0.000) U[0,0] (Platelets >= 0.000))"
48,"((Fibrinogen <= 0.000) U[0,0] (PTT >= 0.000))"
49,"((Glucose <= 0.000) U[0,0] (HCO3 >= 0.000))"
50,"((Glucose <= 0.000) U[0,0] (Platelets >= 0.000))"
51,"((Glucose >= 0.000) U[0,0] (Hgb >= 0.000))"
52,"((Glucose >= 0.000) U[0,0] (PaCO2 >= 0.000))"
