Client,Num Queries
1,3411
2,3411
3,3411
4,3411
5,3411
6,3411
7,3411
8,3411
9,3411
10,3411
11,3411
12,3411
13,3411
14,3411
15,3411
16,3411
17,3411
18,3411
19,3411
20,3411
21,3411
22,3411
23,3411
24,3411
25,3411
26,3411
27,3411
28,3411
29,3411
30,3411
31,3411
32,3411
33,3411
34,3411
35,3411
36,3411
37,3411
38,3411
39,3411
40,3411
41,3411
42,3411
43,3411
44,3411
45,3411
46,3411
47,3411
48,3411
49,3411
50,3411
51,3411
52,3411
53,3411
54,3411
55,3411
56,3411
57,3411
58,3411
59,3411
60,3411
61,3411
62,3411
63,3411
64,3411
65,3411
66,3411
67,3411
68,3411
69,3411
70,3411
71,3411
72,3411
73,3411
74,3411
75,3411
76,3411
77,3411
78,3411
79,3411
80,3411
81,3411
82,3411
83,3411
84,3411
85,3411
86,3411
87,3411
88,3411
89,3411
90,3411
91,3411
92,3411
93,3411
94,3411
95,3411
96,3411
97,3411
98,3411
99,3411
100,3411
