G[2,2](Chloride >= 5.821 & HCO3 >= 1.668) [Discrimination Score: 5.821; Robustness + : 0.000; Robustness - : -5.821; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 3.193 | Hct <= 5.974) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 138.505 -> WBC >= 0.728) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](((Hgb <= 1.458 | Hct <= 21.666) -> WBC >= 0.592) & Platelets >= 3.279) [Discrimination Score: 21.666; Robustness + : 0.000; Robustness - : -21.666; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 1.422 & Potassium <= 3.859) & Magnesium >= 0.048) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 3.335 & Potassium < 2.871) & Magnesium < 1.869) & Phosphate < 0.602) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.033 & Magnesium > 0.121) -> Calcium < 8.287) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 35.611) U[1,2] (SBP <= 115.536)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 6.092 & Creatinine >= 0.054) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 9.271 & HCO3 >= 2.812) [Discrimination Score: 9.271; Robustness + : 0.000; Robustness - : -9.271; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 2.805 | Hct <= 3.927) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 122.175 -> WBC >= 0.666) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 7.025 | Hct <= 14.121) -> WBC >= 0.823) & Platelets >= 15.905) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 6.796 & Potassium <= 1.238) & Magnesium >= 0.083) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 2.087 & Potassium < 3.375) & Magnesium < 0.669) & Phosphate < 1.516) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1]((Phosphate >= 0.296 & Magnesium > 0.236) -> Calcium < 6.908) [Discrimination Score: 6.908; Robustness + : 0.000; Robustness - : -6.908; Percent Class + : 0.000; Percent Class - : 1.000]
