G[1,1](Chloride >= 9.502 & HCO3 >= 0.064) [Discrimination Score: 0.000; Robustness + : -9.502; Robustness - : -9.502; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 6.836 | Hct <= 27.208) [Discrimination Score: -13.000; Robustness + : 27.208; Robustness - : 27.208; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](Platelets <= 149.926 -> WBC >= 1.251) [Discrimination Score: -6.000; Robustness + : -149.926; Robustness - : -149.926; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 3.838 | Hct <= 27.258) -> WBC >= 1.199) & Platelets >= 2.576) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((Calcium <= 2.938 & Potassium <= 5.197) & Magnesium >= 0.205) [Discrimination Score: 0.000; Robustness + : -0.205; Robustness - : -0.205; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 5.673 & Potassium < 6.789) & Magnesium < 0.836) & Phosphate < 7.533) [Discrimination Score: 3.400; Robustness + : 0.836; Robustness - : 0.836; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.042 & Magnesium > 0.124) -> Calcium < 1.751) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 68.651) U[1,2] (SBP <= 249.451)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 8.220 & Creatinine >= 0.309) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 0.327 & HCO3 >= 0.026) [Discrimination Score: -14.000; Robustness + : -0.327; Robustness - : -0.327; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 3.904 | Hct <= 3.715) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
