G[1,1](Chloride >= 3.971 & HCO3 >= 0.000) [Discrimination Score: 8942439230232838.000; Robustness + : 0.000; Robustness - : -3.971; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Hgb <= 5.980 | Hct <= 15.027) [Discrimination Score: -15.027; Robustness + : 0.000; Robustness - : 15.027; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 222.643 -> WBC >= 0.368) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 14.582 | Hct <= 37.180) -> WBC >= 0.037) & Platelets >= 32.970) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 5.010 & Potassium <= 2.781) & Magnesium >= 0.297) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 7.337 & Potassium < 4.169) & Magnesium < 0.328) & Phosphate < 0.358) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.215 & Magnesium > 0.054) -> Calcium < 3.642) [Discrimination Score: 3.642; Robustness + : 0.000; Robustness - : -3.642; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 26.609) U[2,2] (SBP <= 115.390)) [Discrimination Score: -115.390; Robustness + : 0.000; Robustness - : 115.390; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 5.994 & Creatinine >= 0.235) [Discrimination Score: 8464047829481194.000; Robustness + : 0.000; Robustness - : -0.235; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 4.979 & HCO3 >= 0.000) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 12.134 | Hct <= 44.377) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 53.169 -> WBC >= 1.098) [Discrimination Score: 53.169; Robustness + : 0.000; Robustness - : -53.169; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 8.433 | Hct <= 25.974) -> WBC >= 0.253) & Platelets >= 7.607) [Discrimination Score: 25.974; Robustness + : 0.000; Robustness - : -25.974; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 2.781 & Potassium <= 4.039) & Magnesium >= 0.019) [Discrimination Score: -0.477; Robustness + : 0.000; Robustness - : 0.391; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 7.455 & Potassium < 3.756) & Magnesium < 0.527) & Phosphate < 0.483) [Discrimination Score: -0.483; Robustness + : 0.000; Robustness - : 0.483; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.105 & Magnesium > 0.029) -> Calcium < 1.856) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 11.999) U[0,2] (SBP <= 107.446)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 18.939 & Creatinine >= 0.066) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 1.734 & HCO3 >= 0.000) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 3.752 | Hct <= 30.267) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 86.081 -> WBC >= 0.294) [Discrimination Score: 86.081; Robustness + : 0.000; Robustness - : -86.081; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((Hgb <= 10.753 | Hct <= 21.969) -> WBC >= 0.002) & Platelets >= 15.933) [Discrimination Score: 21.969; Robustness + : 0.000; Robustness - : -21.969; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 5.039 & Potassium <= 4.137) & Magnesium >= 0.256) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 5.123 & Potassium < 3.427) & Magnesium < 1.446) & Phosphate < 1.777) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.271 & Magnesium > 0.155) -> Calcium < 7.974) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 5.660) U[1,2] (SBP <= 114.802)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](BUN <= 17.902 & Creatinine >= 0.162) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 1.680 & HCO3 >= 0.000) [Discrimination Score: 1.594; Robustness + : 0.000; Robustness - : -1.124; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 9.409 | Hct <= 35.416) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](Platelets <= 122.109 -> WBC >= 1.239) [Discrimination Score: 122.109; Robustness + : 0.000; Robustness - : -122.109; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 14.328 | Hct <= 18.496) -> WBC >= 0.710) & Platelets >= 3.446) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 1.661 & Potassium <= 5.464) & Magnesium >= 0.051) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 7.855 & Potassium < 4.406) & Magnesium < 1.025) & Phosphate < 2.817) [Discrimination Score: -1.025; Robustness + : 0.000; Robustness - : 1.025; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.238 & Magnesium > 0.274) -> Calcium < 4.764) [Discrimination Score: 4.764; Robustness + : 0.000; Robustness - : -4.764; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 16.266) U[2,2] (SBP <= 101.873)) [Discrimination Score: -101.873; Robustness + : 0.000; Robustness - : 101.873; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 16.842 & Creatinine >= 0.244) [Discrimination Score: 8778410877765886.000; Robustness + : 0.000; Robustness - : -0.244; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 2.183 & HCO3 >= 0.000) [Discrimination Score: 2.183; Robustness + : 0.000; Robustness - : -2.183; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 8.382 | Hct <= 10.975) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 132.383 -> WBC >= 0.463) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((Hgb <= 3.930 | Hct <= 37.402) -> WBC >= 1.126) & Platelets >= 19.550) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 3.705 & Potassium <= 2.489) & Magnesium >= 0.077) [Discrimination Score: 0.077; Robustness + : 0.000; Robustness - : -0.077; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((Calcium < 8.110 & Potassium < 2.736) & Magnesium < 1.248) & Phosphate < 2.854) [Discrimination Score: -1.248; Robustness + : 0.000; Robustness - : 1.248; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.093 & Magnesium > 0.268) -> Calcium < 2.439) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 62.297) U[1,2] (SBP <= 104.800)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](BUN <= 17.079 & Creatinine >= 0.286) [Discrimination Score: -0.459; Robustness + : 0.000; Robustness - : 3.187; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Chloride >= 0.025 & HCO3 >= 0.000) [Discrimination Score: 1.225; Robustness + : 0.000; Robustness - : -0.015; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 15.350 | Hct <= 18.221) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 76.881 -> WBC >= 1.351) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
