G[0,0](Chloride >= 0.000 & HCO3 >= 0.189) [Discrimination Score: -0.000; Robustness + : -0.189; Robustness - : -0.189; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 3.408 | Hct <= 6.332) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 98.213 -> WBC >= 0.825) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 4.102 | Hct <= 7.608) -> WBC >= 0.079) & Platelets >= 3.430) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 1.742 & Potassium <= 4.664) & Magnesium >= 0.125) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 5.346 & Potassium < 3.057) & Magnesium < 1.625) & Phosphate < 2.692) [Discrimination Score: 2.500; Robustness + : 1.625; Robustness - : 1.625; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.019 & Magnesium > 0.107) -> Calcium < 2.638) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 73.554) U[1,2] (SBP <= 143.728)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 5.540 & Creatinine >= 0.052) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](Chloride >= 0.000 & HCO3 >= 0.085) [Discrimination Score: -0.000; Robustness + : -0.085; Robustness - : -0.085; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 5.568 | Hct <= 9.555) [Discrimination Score: -0.000; Robustness + : 9.555; Robustness - : 9.555; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 75.702 -> WBC >= 0.408) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 4.025 | Hct <= 22.786) -> WBC >= 0.058) & Platelets >= 11.341) [Discrimination Score: -0.267; Robustness + : -23.570; Robustness - : -22.786; Percent Class + : 1.000; Percent Class - : 0.000]
