G[2,2](Chloride >= 1.228 & HCO3 >= 0.363) [Discrimination Score: 1.228; Robustness + : 0.000; Robustness - : -1.228; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](Hgb <= 1.435 | Hct <= 22.889) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Platelets <= 34.450 -> WBC >= 0.115) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 7.447 | Hct <= 20.162) -> WBC >= 0.125) & Platelets >= 14.123) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 2.765 & Potassium <= 3.106) & Magnesium >= 0.186) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 5.960 & Potassium < 1.812) & Magnesium < 0.718) & Phosphate < 2.336) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.114 & Magnesium > 0.184) -> Calcium < 2.987) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 35.253) U[0,1] (SBP <= 136.187)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN <= 11.843 & Creatinine >= 0.123) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](Chloride >= 11.111 & HCO3 >= 1.065) [Discrimination Score: 11.111; Robustness + : 0.000; Robustness - : -11.111; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 3.324 | Hct <= 5.705) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Platelets <= 88.620 -> WBC >= 0.479) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 1.891 | Hct <= 16.146) -> WBC >= 0.671) & Platelets >= 25.007) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 2.016 & Potassium <= 1.698) & Magnesium >= 0.033) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 6.997 & Potassium < 2.711) & Magnesium < 1.947) & Phosphate < 1.749) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2]((Phosphate >= 0.007 & Magnesium > 0.024) -> Calcium < 1.386) [Discrimination Score: 1.386; Robustness + : 0.000; Robustness - : -1.386; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 25.448) U[0,2] (SBP <= 128.471)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
