G[0,1](Chloride >= 8.049 & HCO3 >= 1.057) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 5.813 | Hct <= 22.979) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](Platelets <= 221.342 -> WBC >= 1.805) [Discrimination Score: 221.342; Robustness + : 0.000; Robustness - : -221.342; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 3.765 | Hct <= 26.796) -> WBC >= 0.015) & Platelets >= 17.195) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((Calcium <= 7.865 & Potassium <= 1.390) & Magnesium >= 0.018) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((Calcium < 5.775 & Potassium < 0.971) & Magnesium < 1.238) & Phosphate < 3.151) [Discrimination Score: -0.971; Robustness + : 0.000; Robustness - : 0.971; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((Phosphate >= 0.671 & Magnesium > 0.289) -> Calcium < 6.328) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 13.688) U[1,1] (SBP <= 93.739)) [Discrimination Score: -93.739; Robustness + : 0.000; Robustness - : 93.739; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](BUN <= 79.138 & Creatinine >= 0.019) [Discrimination Score: 0.019; Robustness + : 0.000; Robustness - : -0.019; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 5.627 & HCO3 >= 2.135) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 9.372 | Hct <= 13.325) [Discrimination Score: -13.325; Robustness + : 0.000; Robustness - : 13.325; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 243.965 -> WBC >= 0.257) [Discrimination Score: 243.965; Robustness + : 0.000; Robustness - : -243.965; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 6.625 | Hct <= 19.400) -> WBC >= 1.158) & Platelets >= 20.528) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
