G[2,2](Chloride >= 11.433 & HCO3 >= 1.776) [Discrimination Score: 11.433; Robustness + : 0.000; Robustness - : -11.433; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Hgb <= 4.403 | Hct <= 5.618) [Discrimination Score: -5.618; Robustness + : 0.000; Robustness - : 5.618; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 57.235 -> WBC >= 0.512) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](((Hgb <= 6.706 | Hct <= 5.350) -> WBC >= 5.004) & Platelets >= 2.189) [Discrimination Score: 6.706; Robustness + : 0.000; Robustness - : -6.706; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1]((Calcium <= 0.992 & Potassium <= 1.534) & Magnesium >= 0.481) [Discrimination Score: 0.481; Robustness + : 0.000; Robustness - : -0.481; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 4.842 & Potassium < 3.041) & Magnesium < 1.882) & Phosphate < 3.224) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.182 & Magnesium > 0.395) -> Calcium < 6.857) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 36.633) U[0,0] (SBP <= 164.549)) [Discrimination Score: -164.549; Robustness + : 0.000; Robustness - : 164.549; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](BUN <= 4.801 & Creatinine >= 0.012) [Discrimination Score: 0.012; Robustness + : 0.000; Robustness - : -0.012; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](Chloride >= 3.157 & HCO3 >= 2.666) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 7.669 | Hct <= 16.696) [Discrimination Score: -16.696; Robustness + : 0.000; Robustness - : 16.696; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Platelets <= 54.705 -> WBC >= 1.335) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 3.209 | Hct <= 6.944) -> WBC >= 4.632) & Platelets >= 7.556) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((Calcium <= 3.551 & Potassium <= 3.211) & Magnesium >= 0.006) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((Calcium < 3.091 & Potassium < 3.098) & Magnesium < 2.491) & Phosphate < 1.671) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.075 & Magnesium > 0.239) -> Calcium < 6.079) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 43.571) U[1,2] (SBP <= 273.124)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 16.871 & Creatinine >= 0.044) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](Chloride >= 2.690 & HCO3 >= 0.300) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](Hgb <= 3.081 | Hct <= 17.935) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 22.045 -> WBC >= 3.210) [Discrimination Score: 22.045; Robustness + : 0.000; Robustness - : -22.045; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((Hgb <= 7.427 | Hct <= 26.483) -> WBC >= 5.107) & Platelets >= 0.519) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((Calcium <= 4.389 & Potassium <= 1.367) & Magnesium >= 0.321) [Discrimination Score: 0.321; Robustness + : 0.000; Robustness - : -0.321; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](((Calcium < 4.772 & Potassium < 3.353) & Magnesium < 0.840) & Phosphate < 2.023) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2]((Phosphate >= 0.207 & Magnesium > 0.105) -> Calcium < 2.849) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 10.220) U[1,2] (SBP <= 150.239)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 5.351 & Creatinine >= 0.081) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Chloride >= 14.115 & HCO3 >= 5.227) [Discrimination Score: 14.115; Robustness + : 0.000; Robustness - : -14.115; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Hgb <= 9.221 | Hct <= 25.719) [Discrimination Score: -25.719; Robustness + : 0.000; Robustness - : 25.719; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](Platelets <= 84.080 -> WBC >= 0.996) [Discrimination Score: 84.080; Robustness + : 0.000; Robustness - : -84.080; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2](((Hgb <= 5.214 | Hct <= 20.250) -> WBC >= 2.784) & Platelets >= 7.933) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Calcium <= 4.041 & Potassium <= 2.989) & Magnesium >= 0.156) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((Calcium < 1.740 & Potassium < 3.488) & Magnesium < 0.886) & Phosphate < 0.390) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1]((Phosphate >= 0.199 & Magnesium > 0.101) -> Calcium < 2.419) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((MAP >= 6.459) U[1,2] (SBP <= 202.680)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BUN <= 6.680 & Creatinine >= 0.022) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](Chloride >= 8.440 & HCO3 >= 2.955) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Hgb <= 6.982 | Hct <= 17.051) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
